City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Charkhi Dadri,Very Poor,342,"PM
2.5",1/1,Haryana
Talcher,Very Poor,316,"O
3",1/1,Odisha
Greater Noida,Very Poor,312,"PM
10",2/2,Uttar Pradesh
Panchgaon,Very Poor,303,"PM
2.5",1/1,Haryana
Sri Ganganagar,Very Poor,302,"O
3",1/1,Rajasthan
Meerut,Poor,253,"PM , O
10 3",3/4,Uttar Pradesh
Jind,Poor,249,"PM
2.5",1/1,Haryana
Ghaziabad,Poor,247,"PM
10",5/6,Uttar Pradesh
Yamuna Nagar,Poor,245,"PM
2.5",1/1,Haryana
Singrauli,Poor,239,"PM
10",1/1,Madhya Pradesh
Byasanagar,Poor,237,"O
3",1/1,Odisha
Noida,Poor,233,"PM
10",2/4,Uttar Pradesh
Rajkot,Poor,231,"PM
2.5",1/1,Gujarat
Hapur,Poor,227,"PM
10",1/1,Uttar Pradesh
Panipat,Poor,224,"PM
10",1/1,Haryana
Baddi,Poor,219,"PM
10",1/1,Himachal Pradesh
Manesar,Poor,216,"PM
2.5",1/1,Haryana
Khanna,Poor,216,"PM
2.5",1/1,Punjab
Muzaffarnagar,Poor,214,"PM
10",1/1,Uttar Pradesh
Delhi,Poor,208,"PM
10",43/47,Delhi
Baghpat,Poor,205,"PM
10",1/2,Uttar Pradesh
Karnal,Poor,205,"PM
2.5",1/1,Haryana
Kaithal,Poor,203,"PM
2.5",1/1,Haryana
Ballabgarh,Poor,201,"PM
2.5",1/1,Haryana
Bhiwadi,Moderate,200,"PM , PM
2.5 10",2/2,Rajasthan
Faridabad,Moderate,200,"PM , PM
2.5 10",3/4,Haryana
Kurukshetra,Moderate,198,"PM
10",1/1,Haryana
Byrnihat (Assam),Moderate,194,"PM
2.5",1/1,Meghalaya
Ambala,Moderate,187,"PM
2.5",1/1,Haryana
Gurugram,Moderate,178,"PM , PM
2.5 10",4/4,Haryana
Manguraha,Moderate,170,"PM
10",1/1,Bihar
Vatva,Moderate,167,"PM
10",1/1,Gujarat
Sawai Madhopur,Moderate,167,"PM
10",1/1,Rajasthan
Ratlam,Moderate,167,"PM
10",1/1,Madhya Pradesh
Bhiwani,Moderate,167,"PM
2.5",1/1,Haryana
Dharuhera,Moderate,165,"PM
2.5",1/1,Haryana
Dausa,Moderate,160,"PM
10",1/1,Rajasthan
Raebareli,Moderate,159,"O
3",1/1,Uttar Pradesh
Dhanbad,Moderate,152,"NO
2",1/2,Jharkhand
Bulandshahr,Moderate,149,"PM
10",1/1,Uttar Pradesh
Jaisalmer,Moderate,149,"PM
10",1/1,Rajasthan
Buxar,Moderate,149,"PM
2.5",1/1,Bihar
Churu,Moderate,146,"PM
10",1/1,Rajasthan
Pithampur,Moderate,145,"PM
10",1/1,Madhya Pradesh
