City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Rupnagar,Moderate,140,"PM
10",1/1,Punjab
Sri Ganganagar,Moderate,137,"PM
2.5",1/1,Rajasthan
Greater Noida,Moderate,126,"PM
10",2/2,Uttar Pradesh
Chhapra,Moderate,114,"NO
2",1/1,Bihar
Imphal,Moderate,110,"SO
2",1/2,Manipur
Jaipur,Moderate,109,"NO , PM , PM
2 10 2.5",4/6,Rajasthan
Agartala,Moderate,107,"PM
10",1/2,Tripura
Ghaziabad,Moderate,104,"PM
10",2/4,Uttar Pradesh
Baddi,Moderate,104,"PM
10",1/1,Himachal Pradesh
Sawai Madhopur,Satisfactory,100,CO,1/1,Rajasthan
Kota,Satisfactory,100,"PM , CO
10",3/3,Rajasthan
Noida,Satisfactory,97,"PM
10",4/4,Uttar Pradesh
Barmer,Satisfactory,94,"PM
10",1/1,Rajasthan
Jaisalmer,Satisfactory,94,"PM
10",1/1,Rajasthan
Mandi Gobindgarh,Satisfactory,94,CO,1/1,Punjab
Vapi,Satisfactory,89,"PM
10",1/1,Gujarat
Jalandhar,Satisfactory,89,"PM
10",1/1,Punjab
Delhi,Satisfactory,85,"PM
10",38/39,Delhi
Rajgir,Satisfactory,82,CO,1/1,Bihar
Byasanagar,Satisfactory,80,CO,1/1,Odisha
Vatva,Satisfactory,79,"PM
10",1/1,Gujarat
Dhanbad,Satisfactory,79,"NO
2",1/2,Jharkhand
Khanna,Satisfactory,78,"PM
10",1/1,Punjab
Ludhiana,Satisfactory,77,"PM
10",1/1,Punjab
Sagar,Satisfactory,77,CO,1/2,Madhya Pradesh
Rajsamand,Satisfactory,76,"O
3",1/1,Rajasthan
Brajrajnagar,Satisfactory,75,CO,1/1,Odisha
Khurja,Satisfactory,73,"PM
10",1/1,Uttar Pradesh
Ankleshwar,Satisfactory,72,"O
3",1/1,Gujarat
Sikar,Satisfactory,71,"O
3",1/1,Rajasthan
Alwar,Satisfactory,70,CO,1/1,Rajasthan
Baghpat,Satisfactory,69,"PM
10",1/2,Uttar Pradesh
Jalore,Satisfactory,69,"PM
10",1/1,Rajasthan
Boisar,Satisfactory,66,"O
3",1/1,Maharashtra
Gaya,Satisfactory,66,"PM , CO
10",2/3,Bihar
Durgapur,Satisfactory,66,"PM
10",3/3,West Bengal
Bhubaneswar,Satisfactory,66,CO,1/2,Odisha
Kohima,Satisfactory,66,"SO
2",1/1,Nagaland
Chennai,Satisfactory,65,"PM , CO
10",7/9,Tamil Nadu
Bhiwandi,Satisfactory,65,"PM
10",1/1,Maharashtra
Ulhasnagar,Satisfactory,62,"PM
10",1/1,Maharashtra
Vijayawada,Satisfactory,62,"PM
2.5",2/4,Andhra Pradesh
Pithampur,Satisfactory,62,"PM
2.5",1/1,Madhya Pradesh
Gurugram,Satisfactory,61,"O
3",1/4,Haryana
Chandigarh,Satisfactory,61,"PM , O , CO
10 3",3/3,Chandigarh
Saharsa,Satisfactory,59,"PM
10",1/1,Bihar
Chittoor,Satisfactory,57,"PM
2.5",1/1,Andhra Pradesh
Bhiwadi,Satisfactory,57,"PM
10",2/2,Rajasthan
Bikaner,Satisfactory,57,"PM
10",1/1,Rajasthan
Hajipur,Satisfactory,57,"O
3",1/1,Bihar
Hyderabad,Satisfactory,56,"PM , PM
10 2.5",13/14,Telangana
Tumidih,Satisfactory,56,"PM
10",1/1,Chhattisgarh
Nagaon,Satisfactory,56,"PM
10",1/1,Assam
Gwalior,Satisfactory,56,"PM
10",1/4,Madhya Pradesh
Dausa,Satisfactory,56,"PM
10",1/1,Rajasthan
Hosur,Satisfactory,55,"PM
10",1/1,Tamil Nadu
Hapur,Satisfactory,55,CO,1/1,Uttar Pradesh
Mumbai,Satisfactory,54,"PM
10",23/30,Maharashtra
Aurangabad (Bihar),Satisfactory,53,CO,1/1,Bihar
Gandhinagar,Satisfactory,53,"PM
10",3/3,Gujarat
Araria,Satisfactory,53,CO,1/1,Bihar
Patna,Satisfactory,53,CO,5/6,Bihar
Muzaffarnagar,Satisfactory,53,"PM
10",1/1,Uttar Pradesh
Kalyan,Satisfactory,53,"PM
10",2/2,Maharashtra
Howrah,Satisfactory,53,"NO , PM , CO
2 10",5/5,West Bengal
Bathinda,Satisfactory,52,CO,1/1,Punjab
Silchar,Satisfactory,52,"PM
10",1/1,Assam
Korba,Satisfactory,52,"PM , PM
10 2.5",2/2,Chhattisgarh
Kadapa,Satisfactory,52,"PM
2.5",1/1,Andhra Pradesh
Lucknow,Satisfactory,52,"PM , CO
10",6/6,Uttar Pradesh
Bettiah,Satisfactory,52,CO,1/1,Bihar
Bulandshahr,Satisfactory,52,"PM
10",1/1,Uttar Pradesh
Angul,Satisfactory,52,CO,1/1,Odisha
Ahmedabad,Satisfactory,52,"NO , PM
2 10",9/9,Gujarat
Buxar,Satisfactory,51,"PM
10",1/1,Bihar
Bengaluru,Satisfactory,51,"PM
10",9/14,Karnataka
Barrackpore,Satisfactory,51,"PM
10",1/1,West Bengal
Nalbari,Satisfactory,51,"PM
2.5",1/1,Assam
Meerut,Good,50,"PM , O
10 3",3/3,Uttar Pradesh
Malegaon,Good,50,"PM
10",1/1,Maharashtra
Dewas,Good,49,"NO
2",1/1,Madhya Pradesh
Churu,Good,49,"PM
10",1/1,Rajasthan
Bagalkot,Good,49,"PM
10",1/1,Karnataka
Thane,Good,49,"PM
10",2/2,Maharashtra
Jhunjhunu,Good,49,"O
3",1/1,Rajasthan
Salem,Good,48,"SO
2",1/1,Tamil Nadu
