City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Nandesari,Poor,217,"PM
2.5",1/1,Gujarat
Visakhapatnam,Moderate,129,"PM
10",1/1,Andhra Pradesh
Mandi Gobindgarh,Moderate,118,CO,1/1,Punjab
Talcher,Moderate,117,CO,1/1,Odisha
Dausa,Moderate,112,"PM
10",1/1,Rajasthan
Chhapra,Moderate,112,"NO
2",1/1,Bihar
Imphal,Moderate,112,"SO
2",1/2,Manipur
Sri Ganganagar,Moderate,107,"PM
10",1/1,Rajasthan
Gummidipoondi,Moderate,103,"PM
10",1/1,Tamil Nadu
Greater Noida,Moderate,103,"NO , PM
2 10",2/2,Uttar Pradesh
Ghaziabad,Satisfactory,99,"PM
10",4/4,Uttar Pradesh
Araria,Satisfactory,97,"PM
10",1/1,Bihar
Delhi,Satisfactory,97,"CO, PM
10",35/39,Delhi
Noida,Satisfactory,96,"PM
10",2/4,Uttar Pradesh
Khurja,Satisfactory,95,"PM
10",1/1,Uttar Pradesh
Angul,Satisfactory,91,CO,1/1,Odisha
Jhunjhunu,Satisfactory,91,CO,1/1,Rajasthan
Tonk,Satisfactory,89,"PM
10",1/1,Rajasthan
Brajrajnagar,Satisfactory,88,CO,1/1,Odisha
Hajipur,Satisfactory,88,"O
3",1/1,Bihar
Bulandshahr,Satisfactory,87,"PM
10",1/1,Uttar Pradesh
Baran,Satisfactory,86,"O
3",1/1,Rajasthan
Rourkela,Satisfactory,86,"CO, PM
10",2/3,Odisha
Keonjhar,Satisfactory,85,CO,1/1,Odisha
Chandrapur,Satisfactory,85,"SO
2",1/2,Maharashtra
Chennai,Satisfactory,84,"O , PM
3 10",7/9,Tamil Nadu
Patna,Satisfactory,82,"CO, O , PM
3 10",6/6,Bihar
Dhanbad,Satisfactory,81,"NO
2",1/2,Jharkhand
Begusarai,Satisfactory,81,"NO
2",1/1,Bihar
Baddi,Satisfactory,80,"PM
10",1/1,Himachal Pradesh
Vapi,Satisfactory,77,"PM
10",1/1,Gujarat
