City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Charkhi dadri,Poor,202,"PM
2.5",1/1,
Leh,Moderate,185,CO,1/1,Ladakh
Faridabad,Moderate,145,"PM , PM
2.5 10",3/4,Haryana
Panipat,Moderate,142,"PM
2.5",1/1,Haryana
Sikar,Moderate,139,"PM
10",1/1,
Tonk,Moderate,135,"PM
10",1/1,Rajasthan
Gummidipoondi,Moderate,135,"PM
2.5",1/1,
Baraut,Moderate,131,"PM
2.5",1/1,Uttar Pradesh
Pali,Moderate,124,"PM
10",1/1,
Khairthal,Moderate,124,"PM
10",1/1,Rajasthan
Siliguri,Moderate,122,NO2,1/1,West Bengal
Sri ganganagar,Moderate,122,"PM
10",1/1,Rajasthan
Hingoli,Moderate,117,"PM
10",1/1,Maharashtra
Byrnihat (Assam),Moderate,117,"PM
2.5",1/1,
Vatva,Moderate,117,"PM
10",1/1,
Pithampur,Moderate,116,"PM
10",1/1,
Ambala,Moderate,116,"PM
10",1/1,Haryana
Manesar,Moderate,114,"PM
2.5",1/1,
Greater noida,Moderate,113,"PM , O
10 3",2/2,
Noida,Moderate,113,"O , PM
3 10",4/4,
Chhapra,Moderate,113,"PM
10",1/1,
Alwar,Moderate,113,"PM
10",2/2,Rajasthan
Khora,Moderate,113,"PM
2.5",1/1,
Mandi gobindgarh,Moderate,112,"PM
10",1/1,
Palwal,Moderate,111,"PM
10",1/1,Haryana
Churu,Moderate,111,"PM
10",1/1,Rajasthan
Delhi,Moderate,110,"PM , NO2
2.5",45/46,National Capital Territory of Delhi
Nagaur,Moderate,107,"PM
10",1/1,Rajasthan
Siwan,Moderate,105,"PM
10",1/1,
Gadag,Moderate,104,"PM
10",1/1,
Bhilwara,Moderate,103,"PM
10",1/1,Rajasthan
Gurugram,Moderate,103,"PM , PM
2.5 10",4/4,Haryana
Eloor,Moderate,103,CO,1/1,
Visakhapatnam,Moderate,103,"PM
10",1/1,
Baddi,Moderate,103,CO,1/1,
Begusarai,Moderate,102,"PM
10",1/1,
Jhunjhunu,Satisfactory,99,CO,1/1,
Kaithal,Satisfactory,99,SO2,1/1,Haryana
Dewas,Satisfactory,98,"PM
10",1/1,
Chittorgarh,Satisfactory,98,"PM
10",1/1,Rajasthan
Udaipur,Satisfactory,98,"PM
10",1/1,Rajasthan
Sawai madhopur,Satisfactory,96,"PM
10",1/1,Rajasthan
Samastipur,Satisfactory,95,"PM
2.5",1/1,Bihar
Bhopal,Satisfactory,95,"PM
10",3/3,Madhya Pradesh
Ghaziabad,Satisfactory,95,"PM , CO
10",6/7,Uttar Pradesh
Dausa,Satisfactory,94,"PM
10",1/1,Rajasthan
Sirsa,Satisfactory,93,"PM
10",1/1,
Ajmer,Satisfactory,93,"PM
10",1/1,Rajasthan
Jodhpur,Satisfactory,91,"PM
10",5/5,
Bhagalpur,Satisfactory,91,"PM , CO
10",2/2,
Jaisalmer,Satisfactory,91,"PM
10",1/1,
Jaipur,Satisfactory,90,"PM
10",6/6,Rajasthan
Ludhiana,Satisfactory,90,"PM
10",1/1,Punjab
Hisar,Satisfactory,89,"PM
10",1/1,Haryana
Baghpat,Satisfactory,89,"PM
10",1/1,Uttar Pradesh
Bhiwadi,Satisfactory,88,"PM
2.5",1/2,Rajasthan
Kalyan,Satisfactory,88,"PM
10",1/2,
Katihar,Satisfactory,87,CO,1/1,Bihar
Modinagar,Satisfactory,86,"PM
10",1/1,Rajasthan
Pratapgarh,Satisfactory,85,"PM
10",1/1,Uttar Pradesh
Bulandshahr,Satisfactory,85,"PM
10",1/1,Uttar Pradesh
Gandhinagar,Satisfactory,84,"PM
10",3/3,Gujarat
