City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Byrnihat,Moderate,145,"PM
2.5",1/1,Meghalaya
Eloor,Moderate,117,CO,1/1,Kerala
Chhapra,Moderate,114,"NO
2",1/1,Bihar
Jalna,Moderate,106,"PM
2.5",1/1,Maharashtra
Bareilly,Moderate,103,"SO
2",1/2,Uttar Pradesh
Cuttack,Satisfactory,99,CO,1/1,Odisha
Samastipur,Satisfactory,97,"PM
10",1/1,Bihar
Gummidipoondi,Satisfactory,95,"PM
2.5",1/1,Tamil Nadu
Alwar,Satisfactory,94,"NO
2",1/1,Rajasthan
Greater Noida,Satisfactory,92,"PM , CO
10",2/2,Uttar Pradesh
Bihar Sharif,Satisfactory,91,"PM
2.5",1/1,Bihar
Visakhapatnam,Satisfactory,91,"PM
10",1/1,Andhra Pradesh
Coimbatore,Satisfactory,86,"CO, PM
2.5",2/2,Tamil Nadu
Vapi,Satisfactory,81,"PM
10",1/1,Gujarat
Dhanbad,Satisfactory,78,"NO
2",1/2,Jharkhand
Tirupati,Satisfactory,78,"PM
2.5",1/1,Andhra Pradesh
Mandi Gobindgarh,Satisfactory,78,"PM
10",1/1,Punjab
Jorapokhar,Satisfactory,75,CO,1/1,Jharkhand
Jaisalmer,Satisfactory,74,"PM
10",1/1,Rajasthan
Kishanganj,Satisfactory,74,"PM
2.5",1/1,Bihar
Jhalawar,Satisfactory,73,"NO
2",1/1,Rajasthan
Rajsamand,Satisfactory,73,"O
3",1/1,Rajasthan
Katihar,Satisfactory,72,CO,1/1,Bihar
Dholpur,Satisfactory,71,"PM
10",1/1,Rajasthan
Chittoor,Satisfactory,71,"PM
2.5",1/1,Andhra Pradesh
Thiruvananthapuram,Satisfactory,70,"NO , PM
2 10",2/2,Kerala
Vijayawada,Satisfactory,69,"PM , PM
10 2.5",3/4,Andhra Pradesh
Tiruchirappalli,Satisfactory,69,"PM
2.5",1/1,Tamil Nadu
Kohima,Satisfactory,68,"SO
2",1/1,Nagaland
Chennai,Satisfactory,68,"PM
10",5/9,Tamil Nadu
Patna,Satisfactory,68,"PM , CO
10",5/6,Bihar
Ankleshwar,Satisfactory,67,"O
3",1/1,Gujarat
Motihari,Satisfactory,67,"PM
2.5",1/1,Bihar
Hyderabad,Satisfactory,67,"PM , PM
10 2.5",11/14,Telangana
Dausa,Satisfactory,66,CO,1/1,Rajasthan
Barmer,Satisfactory,64,"PM
10",1/1,Rajasthan
Kadapa,Satisfactory,63,"PM
10",1/1,Andhra Pradesh
Ulhasnagar,Satisfactory,63,"PM
10",1/1,Maharashtra
Bhagalpur,Satisfactory,62,"SO
2",1/2,Bihar
"Aurangabad
(Maharashtra)",Satisfactory,62,"PM
10",3/3,Maharashtra
Delhi,Satisfactory,62,"NO , PM
2 2.5",33/39,Delhi
Ranipet,Satisfactory,60,"PM
10",1/1,Tamil Nadu
Talcher,Satisfactory,59,"PM
2.5",1/1,Odisha
Nagaon,Satisfactory,59,"PM
10",1/1,Assam
Nalbari,Satisfactory,59,"PM
2.5",1/1,Assam
Chandigarh,Satisfactory,58,CO,1/3,Chandigarh
Moradabad,Satisfactory,58,"O , PM , PM
3 10 2.5",5/7,Uttar Pradesh
Kannur,Satisfactory,58,"PM
10",1/1,Kerala
Guwahati,Satisfactory,57,"SO , PM
2 2.5",2/4,Assam
Nanded,Satisfactory,57,"PM
10",1/1,Maharashtra
Angul,Satisfactory,57,"PM
10",1/1,Odisha
Mangalore,Satisfactory,57,"PM
10",1/1,Karnataka
Panchgaon,Satisfactory,57,CO,1/1,Haryana
Durgapur,Satisfactory,57,"PM
10",3/3,West Bengal
Begusarai,Satisfactory,56,CO,1/1,Bihar
Brajrajnagar,Satisfactory,56,CO,1/1,Odisha
Kalaburagi,Satisfactory,56,"PM
10",2/2,Karnataka
Keonjhar,Satisfactory,56,"PM
10",1/1,Odisha
Jaipur,Satisfactory,56,"O , NO , PM
3 2 10",3/6,Rajasthan
Pimpri-Chinchwad,Satisfactory,56,"PM , CO
10",4/4,Maharashtra
Udaipur,Satisfactory,56,CO,1/1,Rajasthan
Kanpur,Satisfactory,55,"SO , PM , CO
2 10",3/4,Uttar Pradesh
Ghaziabad,Satisfactory,55,"PM , CO
10",4/4,Uttar Pradesh
Arrah,Satisfactory,54,CO,1/1,Bihar
Sasaram,Satisfactory,54,CO,1/1,Bihar
