City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Ghaziabad,Poor,261,"PM
10",3/4,Uttar Pradesh
Noida,Poor,251,"O , PM
3 10",4/4,Uttar Pradesh
Bahadurgarh,Poor,229,"PM
10",1/1,Haryana
Rohtak,Poor,221,"PM
2.5",1/1,Haryana
Gurugram,Poor,216,"PM
10",2/4,Haryana
Delhi,Poor,211,"O , PM
3 10",39/39,Delhi
Hapur,Poor,204,"PM
2.5",1/1,Uttar Pradesh
Meerut,Moderate,199,"PM , O , PM
10 3 2.5",3/3,Uttar Pradesh
Ballabgarh,Moderate,198,"PM
2.5",1/1,Haryana
Greater Noida,Moderate,194,"PM
10",2/2,Uttar Pradesh
Bhiwadi,Moderate,189,"PM , PM
10 2.5",2/2,Rajasthan
Panipat,Moderate,186,"PM
2.5",1/1,Haryana
Bileipada,Moderate,181,"PM
10",1/1,Odisha
Jalore,Moderate,179,"PM
10",1/1,Rajasthan
Bikaner,Moderate,177,"PM
10",1/1,Rajasthan
Pithampur,Moderate,169,"PM
2.5",1/1,Madhya Pradesh
Muzaffarnagar,Moderate,166,"O
3",1/1,Uttar Pradesh
Bulandshahr,Moderate,163,"PM
2.5",1/1,Uttar Pradesh
Baran,Moderate,161,"O
3",1/1,Rajasthan
Baddi,Moderate,161,"O
3",1/1,Himachal Pradesh
Dharuhera,Moderate,161,"PM
2.5",1/1,Haryana
Baghpat,Moderate,157,"PM
10",1/2,Uttar Pradesh
Mandideep,Moderate,157,"PM
10",1/1,Madhya Pradesh
Belapur,Moderate,156,"O
3",1/1,Maharashtra
Jaipur,Moderate,155,"O
3",6/6,Rajasthan
Nandesari,Moderate,155,"PM
2.5",1/1,Gujarat
Nagpur,Moderate,154,"PM
2.5",4/4,Maharashtra
Chhal,Moderate,150,"O
3",1/1,Chhattisgarh
Sagar,Moderate,149,"PM
2.5",1/2,Madhya Pradesh
Angul,Moderate,148,"PM
2.5",1/1,Odisha
Manesar,Moderate,146,"PM
10",1/1,Haryana
Moradabad,Moderate,144,"PM , PM
10 2.5",6/7,Uttar Pradesh
Churu,Moderate,143,"PM
10",1/1,Rajasthan
Chittoor,Moderate,142,"PM
2.5",1/1,Andhra Pradesh
Damoh,Moderate,140,"PM
10",1/1,Madhya Pradesh
Fatehabad,Moderate,140,"PM
2.5",1/1,Haryana
Gwalior,Moderate,139,"O , PM
3 10",3/4,Madhya Pradesh
