City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Panipat,Poor,298,"PM
2.5",1/1,Haryana
Jind,Poor,256,"PM
2.5",1/1,Haryana
Hanumangarh,Poor,227,"PM
10",1/1,Rajasthan
Baghpat,Poor,216,"PM
10",1/2,Uttar Pradesh
Kaithal,Poor,210,"PM
2.5",1/1,Haryana
Hisar,Poor,207,"PM
10",1/1,Haryana
Ghaziabad,Poor,207,"PM , PM
2.5 10",6/6,Uttar Pradesh
Meerut,Poor,205,"PM , PM
2.5 10",4/4,Uttar Pradesh
Sri Ganganagar,Moderate,198,"O
3",1/1,Rajasthan
Sawai Madhopur,Moderate,197,"O
3",1/1,Rajasthan
Banswara,Moderate,189,"O
3",1/1,Rajasthan
Panchgaon,Moderate,188,"PM
2.5",1/1,Haryana
Gurugram,Moderate,186,"PM , PM
2.5 10",4/4,Haryana
Barmer,Moderate,184,"PM
10",1/1,Rajasthan
Bharatpur,Moderate,180,"O
3",1/1,Rajasthan
Bathinda,Moderate,179,"PM
10",1/1,Punjab
Delhi,Moderate,175,"PM , O , PM
2.5 3 10",45/47,Delhi
Charkhi Dadri,Moderate,172,"PM
2.5",1/1,Haryana
Karnal,Moderate,171,"PM
2.5",1/1,Haryana
Sirohi,Moderate,168,"PM
10",1/1,Rajasthan
Udaipur,Moderate,162,"PM
10",1/1,Rajasthan
Rajkot,Moderate,160,"PM
2.5",1/1,Gujarat
Singrauli,Moderate,157,"PM
10",1/1,Madhya Pradesh
Narnaul,Moderate,153,"PM
10",1/1,Haryana
Jaisalmer,Moderate,152,"PM
10",1/1,Rajasthan
Noida,Moderate,148,"O , PM
3 10",4/4,Uttar Pradesh
Gwalior,Moderate,145,"O , PM
3 10",3/4,Madhya Pradesh
Dhule,Moderate,139,"PM
10",1/1,Maharashtra
Manesar,Moderate,138,"PM
2.5",1/1,Haryana
Ballabgarh,Moderate,138,"PM
10",1/1,Haryana
Gandhinagar,Moderate,131,"O , PM
3 10",3/3,Gujarat
Greater Noida,Moderate,130,"PM
10",2/2,Uttar Pradesh
Bhiwadi,Moderate,130,"PM
10",2/2,Rajasthan
Muzaffarnagar,Moderate,128,"PM
10",1/1,Uttar Pradesh
Vatva,Moderate,127,"PM
10",1/1,Gujarat
Jalore,Moderate,124,"PM
10",1/1,Rajasthan
Barbil,Moderate,121,CO,1/1,Odisha
Mehsana,Moderate,120,"PM
10",1/1,Gujarat
Chhapra,Moderate,120,"PM
2.5",1/1,Bihar
Bulandshahr,Moderate,119,"PM
10",1/1,Uttar Pradesh
Kurukshetra,Moderate,119,"PM
10",1/1,Haryana
Pratapgarh,Moderate,118,"PM
10",1/1,Uttar Pradesh
Bahadurgarh,Moderate,116,"PM
10",1/1,Haryana
Chandrapur,Moderate,116,"PM , PM
2.5 10",2/2,Maharashtra
Dhanbad,Moderate,115,"NO
2",1/2,Jharkhand
Jodhpur,Moderate,112,"PM
10",5/5,Rajasthan
Pithampur,Moderate,111,"PM
10",1/1,Madhya Pradesh
Hapur,Moderate,111,"PM
10",1/1,Uttar Pradesh
Byrnihat (Assam),Moderate,111,"PM
2.5",1/1,Meghalaya
Faridabad,Moderate,110,"PM , PM
2.5 10",3/4,Haryana
Angul,Moderate,109,"PM
10",1/1,Odisha
Byrnihat (Meghalaya),Moderate,108,"PM
10",1/1,Meghalaya
Visakhapatnam,Moderate,106,"PM
10",1/1,Andhra Pradesh
Mandideep,Moderate,105,"PM
2.5",1/1,Madhya Pradesh
Jhunjhunu,Moderate,105,"O
3",1/1,Rajasthan
Yamuna Nagar,Moderate,103,"PM
10",1/1,Haryana
Puducherry,Moderate,102,"O
3",1/1,Puducherry
Agra,Moderate,102,"PM
10",6/6,Uttar Pradesh
Durgapur,Moderate,101,"CO, PM
10",3/3,West Bengal
Jorapokhar,Moderate,101,"PM
10",1/1,Jharkhand
Mahad,Satisfactory,100,"PM
2.5",1/1,Maharashtra
Vadodara,Satisfactory,100,CO,1/1,Gujarat
Ahmedabad,Satisfactory,100,"PM
10",8/9,Gujarat
Churu,Satisfactory,100,"PM
10",1/1,Rajasthan
Gummidipoondi,Satisfactory,99,"PM
10",1/1,Tamil Nadu
Jalgaon,Satisfactory,99,"PM
10",1/1,Maharashtra
Patiala,Satisfactory,99,"PM
10",1/1,Punjab
Dewas,Satisfactory,98,"PM
10",1/1,Madhya Pradesh
Tirupati,Satisfactory,98,"PM
2.5",1/1,Andhra Pradesh
Palwal,Satisfactory,97,"PM
10",1/1,Haryana
Tonk,Satisfactory,97,"PM
10",1/1,Rajasthan
Nagpur,Satisfactory,96,"PM
10",4/4,Maharashtra
Vijayawada,Satisfactory,95,"PM
2.5",3/4,Andhra Pradesh
Ratlam,Satisfactory,94,"PM
10",1/1,Madhya Pradesh
Baddi,Satisfactory,94,"O
3",1/1,Himachal Pradesh
Prayagraj,Satisfactory,93,"SO , PM
2 10",3/3,Uttar Pradesh
Jaipur,Satisfactory,92,"O , PM
3 10",4/6,Rajasthan
Patna,Satisfactory,92,"NO , O , PM
2 3 10",5/6,Bihar
Sikar,Satisfactory,92,"O
3",1/1,Rajasthan
Amravati,Satisfactory,92,"PM
10",2/2,Maharashtra
Munger,Satisfactory,91,"SO
2",1/1,Bihar
Dungarpur,Satisfactory,91,"PM
10",1/1,Rajasthan
Baran,Satisfactory,91,"O
3",1/1,Rajasthan
Ludhiana,Satisfactory,90,"PM
10",1/1,Punjab
Jhalawar,Satisfactory,90,"O
3",1/1,Rajasthan
Guntur,Satisfactory,89,"PM
2.5",1/1,Andhra Pradesh
Katihar,Satisfactory,88,CO,1/1,Bihar
Amritsar,Satisfactory,88,"PM
10",1/1,Punjab
Bengaluru,Satisfactory,88,"PM
10",9/14,Karnataka
Yadgir,Satisfactory,87,"PM
10",1/1,Karnataka
Dausa,Satisfactory,86,"O
3",1/1,Rajasthan
Sagar,Satisfactory,86,"O
3",1/2,Madhya Pradesh
Bhilwara,Satisfactory,86,"PM
10",1/1,Rajasthan
Rajsamand,Satisfactory,85,"PM
10",1/1,Rajasthan
Jalandhar,Satisfactory,84,"PM
10",1/1,Punjab
Bileipada,Satisfactory,84,"PM
10",1/1,Odisha
Nanded,Satisfactory,84,"PM
10",1/1,Maharashtra
Katni,Satisfactory,83,"O
3",1/1,Madhya Pradesh
Siliguri,Satisfactory,83,"O
3",1/1,West Bengal
Ujjain,Satisfactory,83,"PM
10",1/2,Madhya Pradesh
Bhavnagar,Satisfactory,83,"PM
2.5",1/1,Gujarat
Siwan,Satisfactory,82,CO,1/1,Bihar
Dholpur,Satisfactory,82,"PM
10",1/1,Rajasthan
Ankleshwar,Satisfactory,82,"PM
10",1/1,Gujarat
Chittorgarh,Satisfactory,82,"PM
10",1/1,Rajasthan
Nandesari,Satisfactory,81,"PM
10",1/1,Gujarat
Dharwad,Satisfactory,80,"PM
10",1/1,Karnataka
Cuttack,Satisfactory,78,CO,1/1,Odisha
Bhiwandi,Satisfactory,78,"PM
10",1/1,Maharashtra
Kunjemura,Satisfactory,78,"PM
10",1/1,Chhattisgarh
Malegaon,Satisfactory,78,"PM
10",1/1,Maharashtra
Latur,Satisfactory,78,"PM
10",1/1,Maharashtra
Ajmer,Satisfactory,77,"PM
10",1/1,Rajasthan
Bhopal,Satisfactory,77,"PM
10",3/3,Madhya Pradesh
Thrissur,Satisfactory,77,"PM
10",1/1,Kerala
Vrindavan,Satisfactory,77,"PM
10",1/1,Uttar Pradesh
Anantapur,Satisfactory,76,"PM
2.5",1/1,Andhra Pradesh
Karauli,Satisfactory,76,"PM
10",1/1,Rajasthan
Solapur,Satisfactory,76,"PM
10",2/3,Maharashtra
Belapur,Satisfactory,76,"PM
10",1/1,Maharashtra
Kota,Satisfactory,76,"O , PM
3 10",2/3,Rajasthan
Firozabad,Satisfactory,75,"PM
10",2/2,Uttar Pradesh
Talcher,Satisfactory,74,CO,1/1,Odisha
Rourkela,Satisfactory,74,"PM , PM
2.5 10",3/3,Odisha
Lucknow,Satisfactory,73,"PM
10",6/6,Uttar Pradesh
Asansol,Satisfactory,73,"SO , CO, PM
2 10",4/4,West Bengal
Chandigarh,Satisfactory,73,CO,1/3,Chandigarh
Chikkaballapur,Satisfactory,73,"PM
10",1/1,Karnataka
Amaravati,Satisfactory,73,"PM
10",1/1,Andhra Pradesh
Akola,Satisfactory,73,"PM
10",1/1,Maharashtra
"Aurangabad
(Maharashtra)",Satisfactory,72,"PM , O , PM
2.5 3 10",3/3,Maharashtra
Indore,Satisfactory,72,"CO, PM
10",5/6,Madhya Pradesh
Parbhani,Satisfactory,71,"PM
10",1/1,Maharashtra
Vapi,Satisfactory,71,"PM
10",1/1,Gujarat
Begusarai,Satisfactory,71,"PM
10",1/1,Bihar
Mysuru,Satisfactory,70,"O
3",1/1,Karnataka
Bhubaneswar,Satisfactory,70,CO,2/2,Odisha
Jabalpur,Satisfactory,70,"O , PM
3 10",4/4,Madhya Pradesh
Kannur,Satisfactory,70,"PM
10",1/1,Kerala
Satna,Satisfactory,70,"PM
10",1/1,Madhya Pradesh
Hyderabad,Satisfactory,69,"PM
10",12/14,Telangana
Khurja,Satisfactory,69,"PM
10",1/1,Uttar Pradesh
Gaya,Satisfactory,69,"PM , PM
2.5 10",3/3,Bihar
Chennai,Satisfactory,68,"PM , PM
2.5 10",5/9,Tamil Nadu
Machilipatnam,Satisfactory,68,"PM
2.5",1/1,Andhra Pradesh
Nayagarh,Satisfactory,68,"PM
10",1/1,Odisha
Panchkula,Satisfactory,68,"PM
2.5",1/1,Haryana
Hubballi,Satisfactory,68,"PM
10",1/2,Karnataka
Balasore,Satisfactory,67,"O
3",1/1,Odisha
Badlapur,Satisfactory,66,"O
3",1/1,Maharashtra
Bihar Sharif,Satisfactory,66,CO,1/1,Bihar
Saharsa,Satisfactory,65,"PM
10",1/1,Bihar
Moradabad,Satisfactory,64,"O , PM
3 10",6/7,Uttar Pradesh
Nashik,Satisfactory,64,"PM
10",4/4,Maharashtra
Kanpur,Satisfactory,64,"PM , PM
2.5 10",3/4,Uttar Pradesh
Kalyan,Satisfactory,64,"PM
10",2/2,Maharashtra
Varanasi,Satisfactory,64,"PM , PM
2.5 10",4/4,Uttar Pradesh
Tumidih,Satisfactory,63,"PM
10",1/1,Chhattisgarh
Nagaur,Satisfactory,63,"PM
10",1/1,Rajasthan
Muzaffarpur,Satisfactory,63,"PM , O
2.5 3",3/3,Bihar
Brajrajnagar,Satisfactory,62,"O
3",1/1,Odisha
Thane,Satisfactory,62,"PM
10",2/2,Maharashtra
Pune,Satisfactory,61,"CO, PM
10",7/9,Maharashtra
Boisar,Satisfactory,61,"O
3",1/1,Maharashtra
Bhiwani,Satisfactory,61,"PM
2.5",1/1,Haryana
Pimpri-Chinchwad,Satisfactory,61,"PM
10",6/8,Maharashtra
Kadapa,Satisfactory,61,"PM
2.5",1/1,Andhra Pradesh
Sivasagar,Satisfactory,60,"O
3",1/1,Assam
Ahmednagar,Satisfactory,58,"O
3",1/1,Maharashtra
Nalbari,Satisfactory,58,"PM
2.5",1/1,Assam
