City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Rohtak,Poor,271,"PM
2.5",1/1,Haryana
Greater Noida,Poor,246,"PM
10",2/2,Uttar Pradesh
Charkhi Dadri,Poor,242,"PM
2.5",1/1,Haryana
Ballabgarh,Poor,234,"PM
10",1/1,Haryana
Manesar,Poor,224,"PM
2.5",1/1,Haryana
Ghaziabad,Poor,216,"PM
10",4/4,Uttar Pradesh
Gurugram,Poor,212,"PM , PM
10 2.5",4/4,Haryana
Singrauli,Poor,205,"PM
10",1/1,Madhya Pradesh
Bhiwadi,Moderate,192,"PM
10",2/2,Rajasthan
Barbil,Moderate,191,"PM
10",1/1,Odisha
Noida,Moderate,182,"PM
10",4/4,Uttar Pradesh
Delhi,Moderate,180,"PM , PM
10 2.5",43/47,Delhi
Faridabad,Moderate,179,"PM
2.5",3/4,Haryana
Malegaon,Moderate,173,"PM
2.5",1/1,Maharashtra
Bhiwani,Moderate,166,"PM
2.5",1/1,Haryana
Sri Ganganagar,Moderate,162,"O
3",1/1,Rajasthan
Sonipat,Moderate,157,"PM
2.5",1/1,Haryana
Nayagarh,Moderate,154,"PM
10",1/1,Odisha
Chandrapur,Moderate,154,"PM , PM
10 2.5",2/2,Maharashtra
Sirsa,Moderate,151,"PM
10",1/1,Haryana
Baghpat,Moderate,148,"PM
2.5",1/2,Uttar Pradesh
Meerut,Moderate,146,"PM , PM
10 2.5",3/3,Uttar Pradesh
Panchgaon,Moderate,146,"PM
2.5",1/1,Haryana
Bikaner,Moderate,142,"PM
10",1/1,Rajasthan
Tonk,Moderate,137,"PM
10",1/1,Rajasthan
Panipat,Moderate,137,"PM
10",1/1,Haryana
Bulandshahr,Moderate,136,"PM
10",1/1,Uttar Pradesh
Hapur,Moderate,135,"PM
10",1/1,Uttar Pradesh
Gwalior,Moderate,134,"PM
10",3/4,Madhya Pradesh
Jind,Moderate,131,"PM
2.5",1/1,Haryana
Korba,Moderate,129,"PM
2.5",1/2,Chhattisgarh
Sawai Madhopur,Moderate,128,"PM
10",1/1,Rajasthan
Bharatpur,Moderate,128,"PM
10",1/1,Rajasthan
Baran,Moderate,127,"PM
10",1/1,Rajasthan
Hisar,Moderate,126,"PM
10",1/1,Haryana
Jaipur,Moderate,126,"PM
10",6/6,Rajasthan
Barmer,Moderate,125,"PM
10",1/1,Rajasthan
Nagaur,Moderate,124,"PM
10",1/1,Rajasthan
Agra,Moderate,124,"PM , PM
10 2.5",6/6,Uttar Pradesh
Sikar,Moderate,123,"PM
10",1/1,Rajasthan
Khurja,Moderate,121,"PM
10",1/1,Uttar Pradesh
Kunjemura,Moderate,121,"PM
10",1/1,Chhattisgarh
Jaisalmer,Moderate,120,"PM
10",1/1,Rajasthan
Churu,Moderate,120,"PM
10",1/1,Rajasthan
Muzaffarnagar,Moderate,120,"PM
10",1/1,Uttar Pradesh
Lucknow,Moderate,118,"PM , PM
10 2.5",6/6,Uttar Pradesh
Dhanbad,Moderate,117,"PM
10",1/2,Jharkhand
Pali,Moderate,115,"PM
10",1/1,Rajasthan
Jhunjhunu,Moderate,114,"PM
10",1/1,Rajasthan
Hanumangarh,Moderate,113,"PM
10",1/1,Rajasthan
Alwar,Moderate,111,"PM
10",1/1,Rajasthan
Karauli,Moderate,111,"PM
10",1/1,Rajasthan
Pithampur,Moderate,111,"PM
10",1/1,Madhya Pradesh
Solapur,Moderate,110,"PM , PM
10 2.5",2/3,Maharashtra
Vatva,Moderate,107,"PM
2.5",1/1,Gujarat
Vrindavan,Moderate,106,"PM
10",1/1,Uttar Pradesh
