City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Jalore,Very Poor,354,"O
3",1/1,Rajasthan
Banswara,Moderate,190,"PM
2.5",1/1,Rajasthan
Khurja,Moderate,174,"PM
10",1/1,Uttar Pradesh
Baddi,Moderate,124,"PM
10",1/1,Himachal Pradesh
Visakhapatnam,Moderate,117,"PM
10",1/1,Andhra Pradesh
Sri Ganganagar,Moderate,110,"PM
10",1/1,Rajasthan
Imphal,Moderate,109,"SO
2",1/2,Manipur
Ludhiana,Satisfactory,99,"PM
10",1/1,Punjab
Malegaon,Satisfactory,96,"PM
10",1/1,Maharashtra
Angul,Satisfactory,94,CO,1/1,Odisha
Byrnihat,Satisfactory,94,"PM
2.5",1/1,Meghalaya
Lucknow,Satisfactory,92,"PM
10",6/6,Uttar Pradesh
Bidar,Satisfactory,92,"PM
2.5",1/1,Karnataka
Ghaziabad,Satisfactory,92,"PM , O
2.5 3",2/4,Uttar Pradesh
Barmer,Satisfactory,83,"O
3",1/1,Rajasthan
Guwahati,Satisfactory,83,"PM , O , SO
2.5 3 2",4/4,Assam
Dausa,Satisfactory,82,"PM
10",1/1,Rajasthan
Katni,Satisfactory,82,"PM
10",1/1,Madhya Pradesh
Sagar,Satisfactory,82,"PM
10",1/2,Madhya Pradesh
Delhi,Satisfactory,81,"PM , O
10 3",35/39,Delhi
Katihar,Satisfactory,80,"PM
2.5",1/1,Bihar
Jabalpur,Satisfactory,79,"PM , O
2.5 3",3/4,Madhya Pradesh
Amritsar,Satisfactory,78,CO,1/1,Punjab
Noida,Satisfactory,78,"PM , O
2.5 3",4/4,Uttar Pradesh
Kanpur,Satisfactory,77,"PM , CO
10",3/4,Uttar Pradesh
Khanna,Satisfactory,77,"PM
2.5",1/1,Punjab
Gummidipoondi,Satisfactory,76,"PM
10",1/1,Tamil Nadu
Milupara,Satisfactory,75,"PM
10",1/1,Chhattisgarh
Bhopal,Satisfactory,74,"PM
10",2/3,Madhya Pradesh
Bikaner,Satisfactory,74,"PM
10",1/1,Rajasthan
Byasanagar,Satisfactory,73,CO,1/1,Odisha
Vapi,Satisfactory,73,"PM
10",1/1,Gujarat
Surat,Satisfactory,73,"PM
10",1/1,Gujarat
Greater Noida,Satisfactory,72,"PM
10",2/2,Uttar Pradesh
Dhule,Satisfactory,72,"PM
10",1/1,Maharashtra
Suakati,Satisfactory,71,"PM
10",1/1,Odisha
Jhalawar,Satisfactory,71,"PM
2.5",1/1,Rajasthan
Baghpat,Satisfactory,70,"PM
10",1/2,Uttar Pradesh
Hosur,Satisfactory,70,"PM
10",1/1,Tamil Nadu
Rajsamand,Satisfactory,70,"O
3",1/1,Rajasthan
Begusarai,Satisfactory,70,"NO
2",1/1,Bihar
Bhiwadi,Satisfactory,69,"PM , PM
2.5 10",2/2,Rajasthan
Samastipur,Satisfactory,69,"PM
10",1/1,Bihar
Nalbari,Satisfactory,69,"PM
2.5",1/1,Assam
