City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Dausa,Moderate,128,"PM
10",1/1,Rajasthan
Araria,Moderate,120,"PM
2.5",1/1,Bihar
Brajrajnagar,Moderate,116,"O
3",1/1,Odisha
Tonk,Moderate,115,"PM
10",1/1,Rajasthan
Visakhapatnam,Moderate,107,"PM
10",1/1,Andhra Pradesh
Korba,Satisfactory,100,"PM
10",1/2,Chhattisgarh
Gummidipoondi,Satisfactory,98,"PM
10",1/1,Tamil Nadu
Vapi,Satisfactory,97,"PM
10",1/1,Gujarat
Rairangpur,Satisfactory,95,"PM
10",1/1,Odisha
Jaisalmer,Satisfactory,94,"PM
10",1/1,Rajasthan
Kota,Satisfactory,94,"PM , PM
10 2.5",3/3,Rajasthan
Gandhinagar,Satisfactory,94,"PM
10",2/3,Gujarat
Bundi,Satisfactory,93,"PM
10",1/1,Rajasthan
Coimbatore,Satisfactory,92,"CO, PM
2.5",2/2,Tamil Nadu
Sangli,Satisfactory,89,"PM
10",1/1,Maharashtra
Pratapgarh,Satisfactory,88,"PM
10",1/1,Uttar Pradesh
Udaipur,Satisfactory,87,"PM
10",1/1,Rajasthan
Angul,Satisfactory,87,"PM
10",1/1,Odisha
Rajsamand,Satisfactory,87,"O
3",1/1,Rajasthan
Badlapur,Satisfactory,86,"PM
10",1/1,Maharashtra
Ahmedabad,Satisfactory,85,"PM , PM
10 2.5",8/9,Gujarat
Jaipur,Satisfactory,85,"PM , NO
10 2",6/6,Rajasthan
Barmer,Satisfactory,85,"PM
10",1/1,Rajasthan
Jalore,Satisfactory,85,"PM
10",1/1,Rajasthan
Bikaner,Satisfactory,84,"PM
10",1/1,Rajasthan
Amaravati,Satisfactory,83,"PM
10",1/1,Andhra Pradesh
Bhilwara,Satisfactory,82,"PM
10",1/1,Rajasthan
Kanchipuram,Satisfactory,82,"PM
10",1/1,Tamil Nadu
Noida,Satisfactory,82,"CO, PM
10",3/4,Uttar Pradesh
Ratlam,Satisfactory,80,"PM
10",1/1,Madhya Pradesh
Greater Noida,Satisfactory,80,"PM
10",2/2,Uttar Pradesh
Bhopal,Satisfactory,78,"PM
10",3/3,Madhya Pradesh
Dewas,Satisfactory,78,"PM
10",1/1,Madhya Pradesh
Tirupati,Satisfactory,78,"PM
2.5",1/1,Andhra Pradesh
Banswara,Satisfactory,77,"PM
10",1/1,Rajasthan
Dholpur,Satisfactory,77,"PM
10",1/1,Rajasthan
Durgapur,Satisfactory,76,"PM
10",3/3,West Bengal
Jhalawar,Satisfactory,76,"PM
10",1/1,Rajasthan
Keonjhar,Satisfactory,76,"PM
10",1/1,Odisha
Sagar,Satisfactory,76,"CO, PM
10",2/2,Madhya Pradesh
Bhiwandi,Satisfactory,76,"PM
10",1/1,Maharashtra
Byasanagar,Satisfactory,74,CO,1/1,Odisha
Pithampur,Satisfactory,74,"PM
10",1/1,Madhya Pradesh
