City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Hajipur,Poor,238,"PM
2.5",1/1,Bihar
Singrauli,Poor,233,"PM
10",1/1,Madhya Pradesh
Ballabgarh,Poor,225,"PM
10",1/1,Haryana
Charkhi Dadri,Poor,218,"PM
2.5",1/1,Haryana
Gurugram,Poor,212,"PM
2.5",4/4,Haryana
Bulandshahr,Poor,206,"PM
10",1/1,Uttar Pradesh
Tonk,Poor,204,"PM
10",1/1,Rajasthan
Pithampur,Moderate,198,"PM
10",1/1,Madhya Pradesh
Baghpat,Moderate,190,"PM
10",1/2,Uttar Pradesh
Sawai Madhopur,Moderate,186,"O
3",1/1,Rajasthan
Sri Ganganagar,Moderate,186,"O
3",1/1,Rajasthan
Nandesari,Moderate,178,"PM
2.5",1/1,Gujarat
Milupara,Moderate,177,"O
3",1/1,Chhattisgarh
Greater Noida,Moderate,170,"PM
10",2/2,Uttar Pradesh
Ghaziabad,Moderate,170,"PM
10",4/5,Uttar Pradesh
Bileipada,Moderate,168,"PM
10",1/1,Odisha
Patna,Moderate,166,"PM
10",6/6,Bihar
Bhiwadi,Moderate,166,"PM , PM
2.5 10",2/2,Rajasthan
Chandrapur,Moderate,164,"PM , O
10 3",2/2,Maharashtra
Jhalawar,Moderate,162,"O
3",1/1,Rajasthan
Barbil,Moderate,162,"O
3",1/1,Odisha
Nanded,Moderate,162,"O
3",1/1,Maharashtra
Gwalior,Moderate,161,"PM , PM , O
2.5 10 3",3/4,Madhya Pradesh
Faridabad,Moderate,159,"PM , PM
2.5 10",3/4,Haryana
Sonipat,Moderate,157,"PM
2.5",1/1,Haryana
Chittorgarh,Moderate,157,"O
3",1/1,Rajasthan
Bharatpur,Moderate,155,"O
3",1/1,Rajasthan
Narnaul,Moderate,155,"PM
2.5",1/1,Haryana
Belapur,Moderate,154,"PM
10",1/1,Maharashtra
Agra,Moderate,154,"PM , PM
2.5 10",6/6,Uttar Pradesh
Sikar,Moderate,153,"PM
10",1/1,Rajasthan
Muzaffarnagar,Moderate,151,"O
3",1/1,Uttar Pradesh
Baran,Moderate,150,"O
3",1/1,Rajasthan
Delhi,Moderate,149,"PM , O
10 3",46/47,Delhi
Noida,Moderate,147,"PM , O
10 3",4/4,Uttar Pradesh
Lucknow,Moderate,144,"PM , PM
2.5 10",5/6,Uttar Pradesh
Manesar,Moderate,143,"PM
2.5",1/1,Haryana
Baddi,Moderate,143,"PM
10",1/1,Himachal Pradesh
Bikaner,Moderate,141,"PM
10",1/1,Rajasthan
Kota,Moderate,139,"PM , O
2.5 3",3/3,Rajasthan
Hapur,Moderate,137,"PM
10",1/1,Uttar Pradesh
Gaya,Moderate,136,"PM , PM
2.5 10",3/3,Bihar
Jodhpur,Moderate,135,"PM , PM
2.5 10",5/5,Rajasthan
Jaisalmer,Moderate,134,"PM
10",1/1,Rajasthan
Nayagarh,Moderate,134,"PM
10",1/1,Odisha
Panipat,Moderate,133,"PM
10",1/1,Haryana
Motihari,Moderate,132,"PM
2.5",1/1,Bihar
Ratlam,Moderate,132,"PM
10",1/1,Madhya Pradesh
Dewas,Moderate,131,"PM
10",1/1,Madhya Pradesh
Damoh,Moderate,130,"PM
10",1/1,Madhya Pradesh
Vatva,Moderate,130,"PM
10",1/1,Gujarat
Ahmedabad,Moderate,130,"PM , O
10 3",8/9,Gujarat
Bilaspur,Moderate,129,"PM
2.5",1/1,Chhattisgarh
Muzaffarpur,Moderate,129,"PM
2.5",3/3,Bihar
Mangalore,Moderate,126,"PM
10",1/1,Karnataka
Churu,Moderate,126,"O
3",1/1,Rajasthan
Sagar,Moderate,125,"O
3",1/2,Madhya Pradesh
Nagaur,Moderate,125,"PM
10",1/1,Rajasthan
Dausa,Moderate,125,"O
3",1/1,Rajasthan
Nagpur,Moderate,123,"PM
10",4/4,Maharashtra
Bhopal,Moderate,123,"PM
10",3/3,Madhya Pradesh
"Aurangabad
(Maharashtra)",Moderate,122,"PM , PM
2.5 10",3/3,Maharashtra
Jhunjhunu,Moderate,122,"PM
10",1/1,Rajasthan
Manguraha,Moderate,121,"PM
10",1/1,Bihar
Jalna,Moderate,120,"PM
10",1/1,Maharashtra
Solapur,Moderate,120,"PM
10",2/3,Maharashtra
Indore,Moderate,120,"PM , PM
2.5 10",4/6,Madhya Pradesh
Sasaram,Moderate,119,"PM
10",1/1,Bihar
Karauli,Moderate,119,"PM
10",1/1,Rajasthan
Mehsana,Moderate,119,"PM
10",1/1,Gujarat
Bundi,Moderate,119,"O
3",1/1,Rajasthan
Begusarai,Moderate,119,"PM
2.5",1/1,Bihar
Gandhinagar,Moderate,118,"PM
10",3/3,Gujarat
Yadgir,Moderate,118,"PM
10",1/1,Karnataka
Aurangabad (Bihar),Moderate,117,"PM
10",1/1,Bihar
Barmer,Moderate,116,"PM
10",1/1,Rajasthan
Mysuru,Moderate,116,"O
3",1/1,Karnataka
Badlapur,Moderate,116,"PM
10",1/1,Maharashtra
Pali,Moderate,116,"PM
10",1/1,Rajasthan
Katni,Moderate,116,"PM
10",1/1,Madhya Pradesh
Pimpri-Chinchwad,Moderate,115,"PM , PM
2.5 10",5/8,Maharashtra
Varanasi,Moderate,115,"PM
10",4/4,Uttar Pradesh
Dhule,Moderate,115,"PM
10",1/1,Maharashtra
Khurja,Moderate,114,"PM
10",1/1,Uttar Pradesh
Jaipur,Moderate,114,"PM , O
10 3",5/6,Rajasthan
Brajrajnagar,Moderate,114,"PM
10",1/1,Odisha
Visakhapatnam,Moderate,113,"PM
10",1/1,Andhra Pradesh
Bhilwara,Moderate,112,"PM
10",1/1,Rajasthan
Dholpur,Moderate,112,"PM
2.5",1/1,Rajasthan
Keonjhar,Moderate,111,"PM
10",1/1,Odisha
Dharuhera,Moderate,111,"PM
2.5",1/1,Haryana
Meerut,Moderate,110,"O , NO
3 2",3/3,Uttar Pradesh
Korba,Moderate,110,"PM
10",2/2,Chhattisgarh
Agartala,Moderate,109,"PM
10",1/2,Tripura
Kunjemura,Moderate,109,"PM
10",1/1,Chhattisgarh
Bhavnagar,Moderate,107,"PM
10",1/1,Gujarat
Amravati,Moderate,107,"PM
10",2/2,Maharashtra
Tumidih,Moderate,107,"PM
10",1/1,Chhattisgarh
Tirupur,Moderate,106,CO,1/1,Tamil Nadu
Aizawl,Moderate,106,"PM
10",1/1,Mizoram
Siwan,Moderate,105,"PM
10",1/1,Bihar
Yamuna Nagar,Moderate,104,"PM
2.5",1/1,Haryana
Amritsar,Moderate,104,"NO
2",1/1,Punjab
Bhiwandi,Moderate,104,"PM
10",1/1,Maharashtra
Gorakhpur,Moderate,104,"PM
10",1/1,Uttar Pradesh
Pratapgarh,Moderate,104,"PM
10",1/1,Uttar Pradesh
Vrindavan,Moderate,103,"PM
10",1/1,Uttar Pradesh
Udaipur,Moderate,103,"PM
10",1/1,Rajasthan
Cuttack,Moderate,102,"PM
10",1/1,Odisha
Araria,Moderate,102,"PM
2.5",1/1,Bihar
