City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Mandi Gobindgarh,Poor,235,"PM
10",1/1,Punjab
Thiruvananthapuram,Poor,223,"O
3",1/2,Kerala
Nandesari,Moderate,171,"PM
2.5",1/1,Gujarat
Begusarai,Moderate,158,CO,1/1,Bihar
Singrauli,Moderate,144,"PM
2.5",1/1,Madhya Pradesh
Gummidipoondi,Moderate,142,"PM
2.5",1/1,Tamil Nadu
Bulandshahr,Moderate,135,"PM
10",1/1,Uttar Pradesh
Angul,Moderate,132,"PM
2.5",1/1,Odisha
Bileipada,Moderate,127,"PM
2.5",1/1,Odisha
Greater Noida,Moderate,120,"PM
10",2/2,Uttar Pradesh
Vapi,Moderate,118,"PM
10",1/1,Gujarat
Visakhapatnam,Moderate,115,"PM
10",1/1,Andhra Pradesh
Haveri,Moderate,115,"SO
2",1/1,Karnataka
Keonjhar,Moderate,114,"PM
10",1/1,Odisha
Byrnihat,Moderate,112,"PM
2.5",1/1,Meghalaya
Aurangabad (Bihar),Moderate,112,"PM
2.5",1/1,Bihar
Eloor,Moderate,109,"PM
2.5",1/1,Kerala
Ghaziabad,Moderate,109,"PM
10",4/4,Uttar Pradesh
Tonk,Moderate,107,"PM
10",1/1,Rajasthan
Banswara,Moderate,107,"PM
10",1/1,Rajasthan
Boisar,Moderate,105,"PM
10",1/1,Maharashtra
Pratapgarh,Moderate,105,"PM
10",1/1,Uttar Pradesh
Kalyan,Moderate,101,"PM
10",1/2,Maharashtra
Sagar,Satisfactory,100,"PM
10",1/2,Madhya Pradesh
Baddi,Satisfactory,98,"PM
10",1/1,Himachal Pradesh
Parbhani,Satisfactory,97,CO,1/1,Maharashtra
Hanumangarh,Satisfactory,96,"NO
2",1/1,Rajasthan
Katni,Satisfactory,95,"PM
10",1/1,Madhya Pradesh
Noida,Satisfactory,94,"PM
10",4/4,Uttar Pradesh
Delhi,Satisfactory,94,"PM , PM
10 2.5",35/39,Delhi
Katihar,Satisfactory,93,CO,1/1,Bihar
Jalore,Satisfactory,91,"PM
10",1/1,Rajasthan
Bhilwara,Satisfactory,90,"PM
10",1/1,Rajasthan
Udaipur,Satisfactory,90,"PM
10",1/1,Rajasthan
Jaipur,Satisfactory,90,"PM
10",5/6,Rajasthan
Pali,Satisfactory,89,"PM
10",1/1,Rajasthan
Rajgir,Satisfactory,89,CO,1/1,Bihar
Samastipur,Satisfactory,89,"PM
2.5",1/1,Bihar
Durgapur,Satisfactory,87,"PM
10",1/3,West Bengal
Vatva,Satisfactory,87,"PM
10",1/1,Gujarat
Suakati,Satisfactory,86,"PM
2.5",1/1,Odisha
Bhiwadi,Satisfactory,85,"PM
10",2/2,Rajasthan
Badlapur,Satisfactory,84,"PM
10",1/1,Maharashtra
Pithampur,Satisfactory,83,"PM
10",1/1,Madhya Pradesh
