City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Sri Ganganagar,Poor,212,"PM
2.5",1/1,Rajasthan
Byrnihat,Poor,209,"PM
2.5",1/1,Meghalaya
Dholpur,Moderate,173,"PM
10",1/1,Rajasthan
Jaisalmer,Moderate,133,"PM
10",1/1,Rajasthan
Nandesari,Moderate,131,"PM
2.5",1/1,Gujarat
Churu,Moderate,125,"PM
10",1/1,Rajasthan
Chhapra,Moderate,114,"NO
2",1/1,Bihar
Nagaur,Moderate,111,"PM
10",1/1,Rajasthan
Baddi,Moderate,105,"PM
10",1/1,Himachal Pradesh
Bikaner,Moderate,105,"PM
10",1/1,Rajasthan
Vapi,Moderate,105,"PM
10",1/1,Gujarat
Jalore,Moderate,102,"PM
10",1/1,Rajasthan
Barmer,Moderate,102,"PM
10",1/1,Rajasthan
Tirumala,Satisfactory,100,"O
3",1/1,Andhra Pradesh
Bareilly,Satisfactory,100,"SO
2",1/2,Uttar Pradesh
Visakhapatnam,Satisfactory,99,"PM
10",1/1,Andhra Pradesh
Pali,Satisfactory,94,"PM
10",1/1,Rajasthan
Rajsamand,Satisfactory,92,"O
3",1/1,Rajasthan
Eloor,Satisfactory,91,CO,1/1,Kerala
Jaipur,Satisfactory,86,"NO , PM , PM
2 2.5 10",6/6,Rajasthan
Tiruchirappalli,Satisfactory,86,"O
3",1/1,Tamil Nadu
Ajmer,Satisfactory,85,"PM
10",1/1,Rajasthan
Greater Noida,Satisfactory,85,"PM
10",2/2,Uttar Pradesh
Jhunjhunu,Satisfactory,85,"PM
10",1/1,Rajasthan
Karauli,Satisfactory,84,"PM
10",1/1,Rajasthan
Thoothukudi,Satisfactory,83,CO,1/1,Tamil Nadu
Dausa,Satisfactory,82,"PM
10",1/1,Rajasthan
Vatva,Satisfactory,81,"PM
10",1/1,Gujarat
Udaipur,Satisfactory,81,"PM
10",1/1,Rajasthan
Sirohi,Satisfactory,81,"PM
10",1/1,Rajasthan
Dhanbad,Satisfactory,79,"NO
2",1/2,Jharkhand
Patna,Satisfactory,79,"CO, PM
10",5/6,Bihar
Hanumangarh,Satisfactory,78,"PM
10",1/1,Rajasthan
Tonk,Satisfactory,77,"PM
10",1/1,Rajasthan
Byasanagar,Satisfactory,77,CO,1/1,Odisha
Pithampur,Satisfactory,77,"PM
10",1/1,Madhya Pradesh
Dungarpur,Satisfactory,77,"PM
10",1/1,Rajasthan
Brajrajnagar,Satisfactory,76,CO,1/1,Odisha
Rajgir,Satisfactory,76,CO,1/1,Bihar
Virudhunagar,Satisfactory,72,"PM
10",1/1,Tamil Nadu
Karur,Satisfactory,72,CO,1/1,Tamil Nadu
