City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Charkhi Dadri,Poor,296,"PM
2.5",1/1,Haryana
Cuttack,Poor,281,"O
3",1/1,Odisha
Ballabgarh,Poor,269,"PM
10",1/1,Haryana
Dharuhera,Poor,245,"PM
2.5",1/1,Haryana
Gurugram,Poor,238,"PM , PM
10 2.5",2/4,Haryana
Mandi Gobindgarh,Poor,235,"PM
2.5",1/1,Punjab
Angul,Poor,234,"O
3",1/1,Odisha
Byasanagar,Poor,230,"O
3",1/1,Odisha
Greater Noida,Poor,218,"PM
10",2/2,Uttar Pradesh
Gummidipoondi,Poor,212,"PM
2.5",1/1,Tamil Nadu
Milupara,Poor,202,"O
3",1/1,Chhattisgarh
Ghaziabad,Poor,202,"PM , PM
10 2.5",4/4,Uttar Pradesh
Bileipada,Moderate,198,"PM
10",1/1,Odisha
Faridabad,Moderate,193,"PM , PM
10 2.5",3/4,Haryana
Delhi,Moderate,191,"O , PM
3 10",44/45,Delhi
Hajipur,Moderate,190,"PM
2.5",1/1,Bihar
Talcher,Moderate,190,"PM
10",1/1,Odisha
Raebareli,Moderate,189,"PM
2.5",1/1,Uttar Pradesh
Singrauli,Moderate,184,"PM
10",1/1,Madhya Pradesh
Panchgaon,Moderate,184,"PM
2.5",1/1,Haryana
Barbil,Moderate,184,"O
3",1/1,Odisha
Bhiwadi,Moderate,184,"PM
10",2/2,Rajasthan
Bulandshahr,Moderate,183,"PM
10",1/1,Uttar Pradesh
Tumidih,Moderate,181,"PM
2.5",1/1,Chhattisgarh
Manesar,Moderate,179,"PM
2.5",1/1,Haryana
Byrnihat,Moderate,177,"PM
2.5",1/1,Meghalaya
Sikar,Moderate,169,"PM
10",1/1,Rajasthan
Noida,Moderate,169,"PM , PM
10 2.5",3/4,Uttar Pradesh
Hapur,Moderate,163,"PM
2.5",1/1,Uttar Pradesh
Kurukshetra,Moderate,163,"PM
2.5",1/1,Haryana
Sawai Madhopur,Moderate,162,"PM
10",1/1,Rajasthan
Sri Ganganagar,Moderate,161,"O
3",1/1,Rajasthan
Agartala,Moderate,161,"PM
2.5",1/2,Tripura
Jind,Moderate,159,"PM
2.5",1/1,Haryana
Samastipur,Moderate,157,"PM
2.5",1/1,Bihar
Nalbari,Moderate,155,"PM
2.5",1/1,Assam
Vadodara,Moderate,153,"PM
2.5",1/1,Gujarat
Asansol,Moderate,152,"PM
2.5",4/4,West Bengal
Visakhapatnam,Moderate,152,"PM
10",1/1,Andhra Pradesh
Durgapur,Moderate,152,"PM , PM
10 2.5",3/3,West Bengal
