City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Nandesari,Moderate,164,"PM
2.5",1/1,Gujarat
Mandi Gobindgarh,Moderate,162,"PM
2.5",1/1,Punjab
Bhilwara,Moderate,159,"PM
2.5",1/1,Rajasthan
Churu,Moderate,146,"PM
10",1/1,Rajasthan
Jhunjhunu,Moderate,142,"PM
10",1/1,Rajasthan
Baddi,Moderate,137,"PM
10",1/1,Himachal Pradesh
Tonk,Moderate,125,"PM
10",1/1,Rajasthan
Byrnihat,Moderate,125,"PM
2.5",1/1,Meghalaya
Pali,Moderate,124,"PM
10",1/1,Rajasthan
Sri Ganganagar,Moderate,121,"PM
10",1/1,Rajasthan
Ludhiana,Moderate,116,"PM
10",1/1,Punjab
Jaisalmer,Moderate,114,"PM
10",1/1,Rajasthan
Samastipur,Moderate,114,"PM
2.5",1/1,Bihar
Dausa,Moderate,111,"PM
10",1/1,Rajasthan
Imphal,Moderate,108,"SO
2",1/2,Manipur
Patna,Moderate,107,"PM , O , PM
10 3 2.5",6/6,Bihar
Barmer,Moderate,102,"PM
10",1/1,Rajasthan
Jalore,Satisfactory,98,"PM
10",1/1,Rajasthan
Nagaur,Satisfactory,97,"PM
10",1/1,Rajasthan
Delhi,Satisfactory,95,"PM
10",37/39,Delhi
Bathinda,Satisfactory,93,CO,1/1,Punjab
Gorakhpur,Satisfactory,92,"PM
2.5",1/1,Uttar Pradesh
Noida,Satisfactory,92,"PM
10",4/4,Uttar Pradesh
Greater Noida,Satisfactory,92,"PM
10",2/2,Uttar Pradesh
Rourkela,Satisfactory,92,"PM , PM
10 2.5",2/3,Odisha
Gurugram,Satisfactory,91,"PM
10",1/4,Haryana
Bareilly,Satisfactory,91,"SO
2",1/2,Uttar Pradesh
Panchgaon,Satisfactory,90,"PM
10",1/1,Haryana
Amritsar,Satisfactory,90,"PM
2.5",1/1,Punjab
Begusarai,Satisfactory,90,"NO
2",1/1,Bihar
Jaipur,Satisfactory,89,"PM , PM
10 2.5",6/6,Rajasthan
Suakati,Satisfactory,88,"PM
10",1/1,Odisha
Ghaziabad,Satisfactory,87,"PM
10",4/4,Uttar Pradesh
Visakhapatnam,Satisfactory,87,"PM
10",1/1,Andhra Pradesh
Kota,Satisfactory,86,"PM
10",3/3,Rajasthan
Hajipur,Satisfactory,83,"O
3",1/1,Bihar
Baghpat,Satisfactory,83,"PM
10",1/2,Uttar Pradesh
Angul,Satisfactory,82,CO,1/1,Odisha
Karauli,Satisfactory,82,"PM
10",1/1,Rajasthan
Katihar,Satisfactory,82,"PM
2.5",1/1,Bihar
Bhiwadi,Satisfactory,82,"PM
10",2/2,Rajasthan
Gummidipoondi,Satisfactory,82,"PM
10",1/1,Tamil Nadu
Chennai,Satisfactory,81,"PM , O
10 3",7/9,Tamil Nadu
Jodhpur,Satisfactory,81,"PM , PM
10 2.5",5/5,Rajasthan
Barbil,Satisfactory,81,"PM
2.5",1/1,Odisha
Durgapur,Satisfactory,80,"PM
10",3/3,West Bengal
Brajrajnagar,Satisfactory,79,CO,1/1,Odisha
Bhubaneswar,Satisfactory,77,CO,1/2,Odisha
Udaipur,Satisfactory,77,"PM
10",1/1,Rajasthan
Ajmer,Satisfactory,76,"PM
10",1/1,Rajasthan
Gandhinagar,Satisfactory,76,"PM
10",2/3,Gujarat
Byasanagar,Satisfactory,75,CO,1/1,Odisha
Dhanbad,Satisfactory,74,"PM
10",1/2,Jharkhand
Chittoor,Satisfactory,73,"PM
2.5",1/1,Andhra Pradesh
Sirohi,Satisfactory,73,"PM
10",1/1,Rajasthan
Kanpur,Satisfactory,72,"CO, PM , O
10 3",3/4,Uttar Pradesh
Lucknow,Satisfactory,72,"CO, PM , PM
10 2.5",6/6,Uttar Pradesh
Banswara,Satisfactory,70,"PM
10",1/1,Rajasthan
Alwar,Satisfactory,70,CO,1/1,Rajasthan
Hanumangarh,Satisfactory,70,"PM
10",1/1,Rajasthan
Sikar,Satisfactory,70,"PM
10",1/1,Rajasthan
Badlapur,Satisfactory,68,"PM
10",1/1,Maharashtra
Khurja,Satisfactory,68,"PM
10",1/1,Uttar Pradesh
Rajsamand,Satisfactory,68,"PM
10",1/1,Rajasthan
Baran,Satisfactory,68,"O
3",1/1,Rajasthan
Muzaffarnagar,Satisfactory,67,"PM
10",1/1,Uttar Pradesh
Vapi,Satisfactory,67,"PM
10",1/1,Gujarat
Rajgir,Satisfactory,67,"PM
10",1/1,Bihar
Tensa,Satisfactory,65,"O
3",1/1,Odisha
Kohima,Satisfactory,65,"SO
2",1/1,Nagaland
Hyderabad,Satisfactory,65,"PM
10",12/14,Telangana
Chandigarh,Satisfactory,64,"PM
10",2/3,Chandigarh
Anantapur,Satisfactory,63,"PM
2.5",1/1,Andhra Pradesh
Dungarpur,Satisfactory,63,"PM
10",1/1,Rajasthan
Meerut,Satisfactory,63,"PM
10",3/3,Uttar Pradesh
Korba,Satisfactory,63,"PM
10",1/2,Chhattisgarh
Balasore,Satisfactory,63,"PM
10",1/1,Odisha
Nagaon,Satisfactory,62,"PM
2.5",1/1,Assam
Bengaluru,Satisfactory,62,"PM
10",13/14,Karnataka
Ahmedabad,Satisfactory,60,"PM , NO
10 2",8/9,Gujarat
Kadapa,Satisfactory,60,"PM
2.5",1/1,Andhra Pradesh
Pimpri-Chinchwad,Satisfactory,60,"CO, PM
10",4/4,Maharashtra
