City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Bhiwani,Very Poor,336,"PM
2.5",1/1,Haryana
Ghaziabad,Very Poor,325,"PM , PM
2.5 10",4/4,Uttar Pradesh
Baghpat,Very Poor,310,"PM
2.5",1/2,Uttar Pradesh
Yamuna Nagar,Poor,284,"PM
2.5",1/1,Haryana
Charkhi Dadri,Poor,279,"PM
2.5",1/1,Haryana
Gurugram,Poor,276,"PM
2.5",4/4,Haryana
Delhi,Poor,271,"PM
10",36/40,Delhi
Greater Noida,Poor,266,"PM
10",2/2,Uttar Pradesh
Muzaffarnagar,Poor,266,"PM
2.5",1/1,Uttar Pradesh
Angul,Poor,264,"PM
2.5",1/1,Odisha
Noida,Poor,261,"PM
2.5",4/4,Uttar Pradesh
Karnal,Poor,252,"PM
2.5",1/1,Haryana
Bhubaneswar,Poor,248,"O , PM
3 10",2/2,Odisha
Hapur,Poor,238,"PM
2.5",1/1,Uttar Pradesh
Ballabgarh,Poor,236,"PM
10",1/1,Haryana
Meerut,Poor,230,"PM
2.5",3/3,Uttar Pradesh
Kurukshetra,Poor,228,"PM
2.5",1/1,Haryana
Bhiwadi,Poor,228,"PM
2.5",2/2,Rajasthan
Singrauli,Poor,227,"PM
10",1/1,Madhya Pradesh
Rohtak,Poor,226,"PM
2.5",1/1,Haryana
Nanded,Poor,222,"PM
2.5",1/1,Maharashtra
Pithampur,Poor,219,"PM
2.5",1/1,Madhya Pradesh
Jind,Poor,213,"PM
2.5",1/1,Haryana
Naharlagun,Poor,210,"PM
2.5",1/1,
Byasanagar,Poor,205,"O
3",1/1,Odisha
Dharuhera,Poor,204,"PM
2.5",1/1,Haryana
Gummidipoondi,Moderate,192,"PM
2.5",1/1,Tamil Nadu
Chennai,Moderate,191,"PM , PM
2.5 10",6/9,Tamil Nadu
Mahad,Moderate,189,"PM
2.5",1/1,Maharashtra
Manesar,Moderate,188,"PM
2.5",1/1,Haryana
Mandideep,Moderate,188,"PM
2.5",1/1,Madhya Pradesh
Bahadurgarh,Moderate,187,"PM
2.5",1/1,Haryana
Talcher,Moderate,187,"PM
10",1/1,Odisha
Ujjain,Moderate,185,"PM
2.5",1/2,Madhya Pradesh
Bikaner,Moderate,183,"PM
10",1/1,Rajasthan
Faridabad,Moderate,181,"PM , PM
2.5 10",3/4,Haryana
Sawai Madhopur,Moderate,176,"O
3",1/1,Rajasthan
Tumakuru,Moderate,174,"PM
2.5",1/1,Karnataka
Belapur,Moderate,174,"PM
2.5",1/1,Maharashtra
Bulandshahr,Moderate,171,"PM
10",1/1,Uttar Pradesh
Visakhapatnam,Moderate,171,"PM
10",1/1,Andhra Pradesh
Pune,Moderate,170,"PM , PM
2.5 10",8/13,Maharashtra
Baddi,Moderate,169,"PM
10",1/1,Himachal Pradesh
Kolkata,Moderate,167,"PM
2.5",7/7,West Bengal
Chandigarh,Moderate,167,"NO , PM , PM
2 2.5 10",3/3,Chandigarh
Sri Ganganagar,Moderate,166,"PM
10",1/1,Rajasthan
Howrah,Moderate,166,"PM , PM
2.5 10",5/5,West Bengal
Pratapgarh,Moderate,165,"PM
10",1/1,Uttar Pradesh
Banswara,Moderate,158,"O
3",1/1,Rajasthan
Chittorgarh,Moderate,158,"PM
2.5",1/1,Rajasthan
Panipat,Moderate,158,"PM
2.5",1/1,Haryana
Ajmer,Moderate,157,"O
3",1/1,Rajasthan
Hajipur,Moderate,155,"PM
2.5",1/1,Bihar
Nagaur,Moderate,154,"PM
10",1/1,Rajasthan
Patna,Moderate,154,"PM , PM
2.5 10",6/6,Bihar
Pimpri-Chinchwad,Moderate,153,"PM , O
2.5 3",4/4,Maharashtra
Kollam,Moderate,153,"PM
2.5",1/1,Kerala
Churu,Moderate,152,"PM
10",1/1,Rajasthan
Saharsa,Moderate,149,"PM
2.5",1/1,Bihar
Jhalawar,Moderate,149,"PM
2.5",1/1,Rajasthan
Gandhinagar,Moderate,149,"PM , PM
2.5 10",3/3,Gujarat
Indore,Moderate,149,"PM , PM
2.5 10",5/6,Madhya Pradesh
Guwahati,Moderate,148,"PM , SO
2.5 2",2/4,Assam
Malegaon,Moderate,147,"PM
10",1/1,Maharashtra
Vadodara,Moderate,147,"PM
2.5",1/1,Gujarat
Bhilwara,Moderate,147,"PM
2.5",1/1,Rajasthan
Bileipada,Moderate,147,"PM
10",1/1,Odisha
Dehradun,Moderate,146,"PM
2.5",1/1,Uttarakhand
Pali,Moderate,146,"PM
2.5",1/1,Rajasthan
Badlapur,Moderate,145,"PM
10",1/1,Maharashtra
Nalbari,Moderate,144,"PM
2.5",1/1,Assam
Eloor,Moderate,143,"PM
2.5",1/1,Kerala
Bhopal,Moderate,143,"O , PM
3 10",3/3,Madhya Pradesh
Motihari,Moderate,142,"PM
2.5",1/1,Bihar
Nagpur,Moderate,142,"PM , PM
2.5 10",4/4,Maharashtra
Lucknow,Moderate,141,"PM , PM
2.5 10",6/6,Uttar Pradesh
Byrnihat,Moderate,140,"PM
2.5",1/1,Meghalaya
Jhunjhunu,Moderate,139,"PM
10",1/1,Rajasthan
Moradabad,Moderate,139,"PM
2.5",6/7,Uttar Pradesh
Barbil,Moderate,138,"PM
10",1/1,Odisha
Vatva,Moderate,137,"PM
2.5",1/1,Gujarat
Balasore,Moderate,137,"PM
2.5",1/1,Odisha
Haldia,Moderate,136,"PM
2.5",1/1,West Bengal
Ahmednagar,Moderate,136,"PM
10",1/1,Maharashtra
Kanpur,Moderate,136,"PM , PM
2.5 10",3/4,Uttar Pradesh
Manguraha,Moderate,136,"PM
10",1/1,Bihar
Siliguri,Moderate,135,"PM
10",1/1,West Bengal
Ramanagara,Moderate,134,"PM
10",1/1,Karnataka
Bhiwandi,Moderate,133,"PM
10",1/1,Maharashtra
Udaipur,Moderate,133,"PM
10",1/1,Rajasthan
Ulhasnagar,Moderate,133,"PM
10",1/1,Maharashtra
Kunjemura,Moderate,132,"PM
10",1/1,Chhattisgarh
Kota,Moderate,132,"PM , PM
2.5 10",3/3,Rajasthan
Dhule,Moderate,132,"PM
2.5",1/1,Maharashtra
Tonk,Moderate,131,"PM
10",1/1,Rajasthan
Kaithal,Moderate,131,"PM
2.5",1/1,Haryana
Jaisalmer,Moderate,131,"PM
2.5",1/1,Rajasthan
Sikar,Moderate,131,"PM
10",1/1,Rajasthan
Ratlam,Moderate,129,"PM
10",1/1,Madhya Pradesh
Jodhpur,Moderate,129,"PM
10",5/5,Rajasthan
Hanumangarh,Moderate,129,"PM
10",1/1,Rajasthan
Dholpur,Moderate,128,"PM
2.5",1/1,Rajasthan
Muzaffarpur,Moderate,126,"PM
2.5",3/3,Bihar
Alwar,Moderate,125,"PM
10",1/1,Rajasthan
Dungarpur,Moderate,125,"PM
10",1/1,Rajasthan
Patiala,Moderate,125,"PM
10",1/1,Punjab
Surat,Moderate,124,"PM , PM
2.5 10",2/2,Gujarat
Ahmedabad,Moderate,123,"PM
10",8/9,Gujarat
Sangli,Moderate,123,"PM
2.5",1/1,Maharashtra
Navi Mumbai,Moderate,123,"PM , PM
2.5 10",5/8,Maharashtra
