City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Charkhi Dadri,Poor,264,"PM
2.5",1/1,Haryana
Bhiwani,Poor,259,"PM
2.5",1/1,Haryana
Mandideep,Poor,249,"PM
2.5",1/1,Madhya Pradesh
Cuttack,Poor,223,"O
3",1/1,Odisha
Hajipur,Poor,221,"PM
2.5",1/1,Bihar
Mandi Gobindgarh,Poor,219,"PM
2.5",1/1,Punjab
Pithampur,Poor,219,"PM
2.5",1/1,Madhya Pradesh
Nanded,Poor,215,"PM
2.5",1/1,Maharashtra
Gurugram,Poor,214,"PM
2.5",3/4,Haryana
Ujjain,Moderate,198,"PM
2.5",1/2,Madhya Pradesh
Sikar,Moderate,197,"PM
10",1/1,Rajasthan
Vatva,Moderate,194,"PM
2.5",1/1,Gujarat
Dharuhera,Moderate,193,"PM
2.5",1/1,Haryana
Visakhapatnam,Moderate,192,"PM
10",1/1,Andhra Pradesh
Sri Ganganagar,Moderate,190,"PM
10",1/1,Rajasthan
Delhi,Moderate,189,"O , PM
3 2.5",39/40,Delhi
Ghaziabad,Moderate,188,"PM
2.5",4/4,Uttar Pradesh
Bahadurgarh,Moderate,187,"PM
2.5",1/1,Haryana
Baghpat,Moderate,185,"PM
2.5",1/2,Uttar Pradesh
Jaipur,Moderate,179,"PM , PM
2.5 10",6/6,Rajasthan
Byasanagar,Moderate,179,"O
3",1/1,Odisha
Naharlagun,Moderate,178,"PM
2.5",1/1,
Dausa,Moderate,176,"PM
10",1/1,Rajasthan
Sawai Madhopur,Moderate,173,"PM
10",1/1,Rajasthan
Bhiwadi,Moderate,172,"PM
2.5",2/2,Rajasthan
Singrauli,Moderate,170,"PM
2.5",1/1,Madhya Pradesh
Mahad,Moderate,170,"PM
2.5",1/1,Maharashtra
Talcher,Moderate,167,"PM
10",1/1,Odisha
Howrah,Moderate,167,"O , PM , PM
3 2.5 10",5/5,West Bengal
Greater Noida,Moderate,166,"PM
10",2/2,Uttar Pradesh
Pune,Moderate,162,"O , PM
3 2.5",8/13,Maharashtra
