City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Charkhi Dadri,Very Poor,338,"PM
2.5",1/1,Haryana
Singrauli,Very Poor,311,"PM
10",1/1,Madhya Pradesh
Sri Ganganagar,Poor,299,"O
3",1/1,Rajasthan
Greater Noida,Poor,276,"PM
10",2/2,Uttar Pradesh
Ghaziabad,Poor,266,"PM , PM
2.5 10",6/6,Uttar Pradesh
Panchgaon,Poor,266,"PM
2.5",1/1,Haryana
Dausa,Poor,258,"PM
10",1/1,Rajasthan
Angul,Poor,251,"O
3",1/1,Odisha
Meerut,Poor,244,"PM , PM
2.5 10",4/4,Uttar Pradesh
Bulandshahr,Poor,235,"PM
10",1/1,Uttar Pradesh
Bhiwani,Poor,218,"PM
2.5",1/1,Haryana
Manesar,Poor,218,"PM
2.5",1/1,Haryana
Ballabgarh,Poor,216,"PM
10",1/1,Haryana
Noida,Poor,215,"PM
10",4/4,Uttar Pradesh
Jind,Poor,211,"PM
2.5",1/1,Haryana
Bikaner,Poor,205,"PM
10",1/1,Rajasthan
Byrnihat (Assam),Poor,204,"PM
2.5",1/1,Meghalaya
Bahadurgarh,Poor,203,"PM
2.5",1/1,Haryana
Churu,Moderate,198,"PM
10",1/1,Rajasthan
Muzaffarnagar,Moderate,196,"PM
10",1/1,Uttar Pradesh
Baghpat,Moderate,196,"PM
10",1/2,Uttar Pradesh
Delhi,Moderate,195,"PM , PM
2.5 10",44/47,Delhi
Sikar,Moderate,195,"PM
10",1/1,Rajasthan
Hapur,Moderate,194,"PM
10",1/1,Uttar Pradesh
Bhilwara,Moderate,189,"PM
10",1/1,Rajasthan
Kurukshetra,Moderate,181,"PM
10",1/1,Haryana
Kaithal,Moderate,181,"PM
2.5",1/1,Haryana
Dharuhera,Moderate,181,"PM
2.5",1/1,Haryana
Jaisalmer,Moderate,179,"PM
10",1/1,Rajasthan
Jaipur,Moderate,179,"PM , PM
2.5 10",6/6,Rajasthan
Udaipur,Moderate,178,"PM
2.5",1/1,Rajasthan
Pali,Moderate,177,"PM
10",1/1,Rajasthan
Jhunjhunu,Moderate,167,"PM
10",1/1,Rajasthan
Baddi,Moderate,167,"O
3",1/1,Himachal Pradesh
Bhiwadi,Moderate,164,"PM
2.5",2/2,Rajasthan
Tonk,Moderate,163,"PM
10",1/1,Rajasthan
Karauli,Moderate,163,"PM
10",1/1,Rajasthan
Mandideep,Moderate,162,"PM
2.5",1/1,Madhya Pradesh
Mandi Gobindgarh,Moderate,161,"PM
2.5",1/1,Punjab
Panipat,Moderate,161,"PM
10",1/1,Haryana
Gurugram,Moderate,160,"PM , PM
2.5 10",3/4,Haryana
Faridabad,Moderate,160,"PM , PM
2.5 10",2/4,Haryana
Dhanbad,Moderate,158,"NO
2",1/2,Jharkhand
