City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Mandi gobindgarh,Moderate,147,"PM
10",1/1,
Hisar,Moderate,135,"O
3",1/1,Haryana
Khairthal,Moderate,129,"PM
10",1/1,
Panipat,Moderate,127,"PM
2.5",1/1,
Eluru,Moderate,125,"O
3",1/1,
Byrnihat (Meghalaya),Moderate,122,"PM
2.5",1/1,
Chennai,Moderate,119,"O , PM
3 10",2/9,
Barmer,Moderate,113,"PM
10",1/1,Rajasthan
Bhagalpur,Moderate,113,"CO, PM
10",2/2,
Sri ganganagar,Moderate,112,"PM
10",1/1,
Agartala,Moderate,111,"PM
10",1/2,Tripura
Alwar,Moderate,105,"PM
10",2/2,Rajasthan
Faridabad,Moderate,105,"PM
10",3/4,
Tonk,Moderate,104,CO,1/1,Rajasthan
Jorapokhar,Satisfactory,100,"PM
10",1/1,
Bikaner,Satisfactory,100,"PM
10",1/1,Rajasthan
Dhanbad,Satisfactory,98,NO2,1/2,Jharkhand
Greater noida,Satisfactory,97,"PM
10",2/2,Uttar Pradesh
Ambala,Satisfactory,97,"PM
10",1/1,Haryana
Khora,Satisfactory,96,"PM
2.5",1/1,
Narnaul,Satisfactory,96,"PM
10",1/1,Haryana
Manesar,Satisfactory,95,"PM
2.5",1/1,Haryana
Vrindavan,Satisfactory,94,"CO, PM
10",2/2,
Vatva,Satisfactory,93,"PM
10",1/1,
Pali,Satisfactory,93,"PM
10",1/1,Rajasthan
Gadag,Satisfactory,90,CO,1/1,
Jind,Satisfactory,89,"PM
2.5",1/1,Haryana
Saharsa,Satisfactory,88,"PM
10",1/1,Bihar
Charkhi dadri,Satisfactory,88,"PM
2.5",1/1,
Noida,Satisfactory,86,"PM
10",3/4,Uttar Pradesh
Nagaur,Satisfactory,85,"PM
10",1/1,Rajasthan
Sirsa,Satisfactory,84,CO,1/1,
Jalandhar,Satisfactory,84,"PM
2.5",1/1,
Rohtak,Satisfactory,84,"PM
10",1/1,
Vadodara,Satisfactory,84,CO,1/1,Gujarat
Bengaluru,Satisfactory,83,"PM
10",7/14,
Bhiwadi,Satisfactory,82,"PM
10",1/2,
Jhunjhunu,Satisfactory,82,"PM
10",1/1,Rajasthan
Kaithal,Satisfactory,82,"PM
10",1/1,
Baddi,Satisfactory,80,"PM
10",1/1,
Paradeep,Satisfactory,80,CO,1/1,
Churu,Satisfactory,80,"PM
10",1/1,
Delhi,Satisfactory,79,"PM , O , PM
10 3 2.5",43/46,National Capital Territory of Delhi
Tirupati,Satisfactory,79,"PM
10",1/1,
Shamli,Satisfactory,78,CO,1/1,Uttar Pradesh
Katihar,Satisfactory,78,CO,1/1,Bihar
Raebareli,Satisfactory,78,"PM , CO
10",2/2,Uttar Pradesh
Yamuna nagar,Satisfactory,77,"PM
2.5",1/1,Haryana
Guntur,Satisfactory,77,"PM
10",1/1,Andhra Pradesh
Gajraula,Satisfactory,76,CO,1/1,Uttar Pradesh
Varanasi,Satisfactory,76,"PM
10",4/4,Uttar Pradesh
Anantapur,Satisfactory,75,"PM
10",1/1,
Chittoor,Satisfactory,75,"PM
10",1/1,
Sonipat,Satisfactory,75,"PM
10",1/1,
Dharwad,Satisfactory,74,"PM
10",1/1,Karnataka
Bahadurgarh,Satisfactory,74,"PM
10",1/1,Haryana
Ghaziabad,Satisfactory,74,"PM , CO
10",6/7,
Begusarai,Satisfactory,74,"PM
10",1/1,
Amritsar,Satisfactory,73,"PM
2.5",1/1,
Ajmer,Satisfactory,73,"PM
2.5",1/1,Rajasthan
Parbhani,Satisfactory,72,"PM
10",1/1,
Chandigarh,Satisfactory,72,"O
3",1/3,
Brajrajnagar,Satisfactory,72,"PM
10",1/1,Odisha
Khurja,Satisfactory,71,"PM
10",1/1,
Jaisalmer,Satisfactory,71,"O
3",1/1,Rajasthan
Satara,Satisfactory,71,"PM
10",1/1,
