City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Nandesari,Poor,208,"PM
2.5",1/1,Gujarat
Byrnihat,Moderate,151,"PM
2.5",1/1,Meghalaya
Ludhiana,Moderate,133,"PM
2.5",1/1,Punjab
Thoothukudi,Moderate,127,CO,1/1,Tamil Nadu
Khurja,Moderate,119,"PM
10",1/1,Uttar Pradesh
Mandi Gobindgarh,Moderate,116,CO,1/1,Punjab
Visakhapatnam,Moderate,116,"PM
10",1/1,Andhra Pradesh
Chhapra,Moderate,113,"NO
2",1/1,Bihar
Imphal,Moderate,112,"SO
2",1/2,Manipur
Saharsa,Moderate,109,"PM
10",1/1,Bihar
Araria,Moderate,108,"PM
10",1/1,Bihar
Sri Ganganagar,Moderate,108,CO,1/1,Rajasthan
Samastipur,Moderate,107,"PM
2.5",1/1,Bihar
Gummidipoondi,Satisfactory,99,"PM
10",1/1,Tamil Nadu
Hajipur,Satisfactory,99,"O
3",1/1,Bihar
Dausa,Satisfactory,94,"PM
10",1/1,Rajasthan
Angul,Satisfactory,93,CO,1/1,Odisha
Cuttack,Satisfactory,92,"PM
10",1/1,Odisha
Rourkela,Satisfactory,90,"PM , PM
10 2.5",2/3,Odisha
Brajrajnagar,Satisfactory,88,CO,1/1,Odisha
Patna,Satisfactory,84,"O , PM , CO
3 10",6/6,Bihar
Delhi,Satisfactory,83,"PM , PM , CO
10 2.5",36/39,Delhi
Baddi,Satisfactory,78,"PM
10",1/1,Himachal Pradesh
Kadapa,Satisfactory,78,"PM
2.5",1/1,Andhra Pradesh
Kishanganj,Satisfactory,77,"PM
10",1/1,Bihar
Jalgaon,Satisfactory,77,"PM
10",1/1,Maharashtra
Dhanbad,Satisfactory,76,"NO
2",1/2,Jharkhand
Churu,Satisfactory,76,"PM
10",1/1,Rajasthan
Chittoor,Satisfactory,75,"PM
2.5",1/1,Andhra Pradesh
Gaya,Satisfactory,75,"PM
10",1/3,Bihar
Shivamogga,Satisfactory,75,"O
3",1/1,Karnataka
Noida,Satisfactory,75,"PM , PM
10 2.5",3/4,Uttar Pradesh
Byasanagar,Satisfactory,73,CO,1/1,Odisha
Ghaziabad,Satisfactory,73,"PM
10",4/4,Uttar Pradesh
Dindigul,Satisfactory,73,"PM
10",1/1,Tamil Nadu
Vrindavan,Satisfactory,72,"PM
10",1/1,Uttar Pradesh
Hyderabad,Satisfactory,71,"PM , PM
10 2.5",12/14,Telangana
Badlapur,Satisfactory,70,"PM
10",1/1,Maharashtra
Lucknow,Satisfactory,70,"O , PM , PM
3 10 2.5",5/6,Uttar Pradesh
Tonk,Satisfactory,70,"PM
10",1/1,Rajasthan
Katni,Satisfactory,70,"PM
10",1/1,Madhya Pradesh
Motihari,Satisfactory,69,"PM
10",1/1,Bihar
Greater Noida,Satisfactory,68,"PM
10",2/2,Uttar Pradesh
Sagar,Satisfactory,68,"PM , CO
10",2/2,Madhya Pradesh
Vapi,Satisfactory,68,"PM
10",1/1,Gujarat
Bhubaneswar,Satisfactory,68,CO,2/2,Odisha
Tiruchirappalli,Satisfactory,67,"O
3",1/1,Tamil Nadu
Kohima,Satisfactory,67,"SO
2",1/1,Nagaland
Jalna,Satisfactory,66,"PM
10",1/1,Maharashtra
Bhiwandi,Satisfactory,66,"PM
10",1/1,Maharashtra
Bhiwadi,Satisfactory,66,"PM , PM
10 2.5",2/2,Rajasthan
Bulandshahr,Satisfactory,66,"PM
10",1/1,Uttar Pradesh
Barrackpore,Satisfactory,66,"PM
10",1/1,West Bengal
Muzaffarnagar,Satisfactory,65,"PM
10",1/1,Uttar Pradesh
Chennai,Satisfactory,65,"PM
10",7/9,Tamil Nadu
Meerut,Satisfactory,64,"O , PM
3 10",2/3,Uttar Pradesh
Nanded,Satisfactory,64,"PM
10",1/1,Maharashtra
Ajmer,Satisfactory,64,"PM
10",1/1,Rajasthan
Dewas,Satisfactory,64,"PM
10",1/1,Madhya Pradesh
Alwar,Satisfactory,63,CO,1/1,Rajasthan
Nagaon,Satisfactory,63,"PM
2.5",1/1,Assam
Kanpur,Satisfactory,63,"PM , CO, PM
10 2.5",3/4,Uttar Pradesh
Jhalawar,Satisfactory,63,"O
3",1/1,Rajasthan
Ulhasnagar,Satisfactory,63,"PM
10",1/1,Maharashtra
Korba,Satisfactory,62,"PM
10",2/2,Chhattisgarh
Bengaluru,Satisfactory,62,"PM
10",12/14,Karnataka
Dharwad,Satisfactory,61,"PM
10",1/1,Karnataka
Pithampur,Satisfactory,61,"PM
10",1/1,Madhya Pradesh
Eloor,Satisfactory,61,CO,1/1,Kerala
Sikar,Satisfactory,61,"O
3",1/1,Rajasthan
Jaipur,Satisfactory,60,"PM , NO
10 2",6/6,Rajasthan
Bathinda,Satisfactory,60,CO,1/1,Punjab
Pimpri-Chinchwad,Satisfactory,60,"PM
10",4/4,Maharashtra
Nagaur,Satisfactory,59,"PM
10",1/1,Rajasthan
Jalandhar,Satisfactory,59,"PM
10",1/1,Punjab
Thane,Satisfactory,59,"PM , PM
10 2.5",2/2,Maharashtra
Jaisalmer,Satisfactory,58,"PM
10",1/1,Rajasthan
Bikaner,Satisfactory,58,"PM
10",1/1,Rajasthan
Chandrapur,Satisfactory,58,"PM
10",1/2,Maharashtra
Rajamahendravaram,Satisfactory,57,"PM
10",1/1,Andhra Pradesh
Gwalior,Satisfactory,57,"O , PM
3 10",3/4,Madhya Pradesh
Guwahati,Satisfactory,57,"PM , PM
10 2.5",3/4,Assam
Jhansi,Satisfactory,56,"PM
10",1/1,Uttar Pradesh
Singrauli,Satisfactory,56,"PM
10",1/1,Madhya Pradesh
Navi Mumbai,Satisfactory,55,"PM
10",6/8,Maharashtra
Solapur,Satisfactory,55,"PM
10",2/3,Maharashtra
Kota,Satisfactory,55,"O , CO
3",3/3,Rajasthan
Mumbai,Satisfactory,55,"PM
10",23/30,Maharashtra
Amravati,Satisfactory,54,"PM
10",2/2,Maharashtra
Hapur,Satisfactory,54,"PM
2.5",1/1,Uttar Pradesh
Tirupati,Satisfactory,54,"PM
2.5",1/1,Andhra Pradesh
Amaravati,Satisfactory,54,"PM
10",1/1,Andhra Pradesh
Bharatpur,Satisfactory,54,"O
3",1/1,Rajasthan
Rairangpur,Satisfactory,53,CO,1/1,Odisha
Gurugram,Satisfactory,53,"PM
10",1/4,Haryana
Vijayawada,Satisfactory,53,"PM , PM
10 2.5",4/4,Andhra Pradesh
