City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Fatehabad,Very Poor,329,"PM
2.5",1/1,Haryana
Bahadurgarh,Very Poor,324,"PM
10",1/1,Haryana
Noida,Very Poor,324,"PM , PM
2.5 10",4/4,Uttar Pradesh
Dharuhera,Very Poor,307,"PM
2.5",1/1,Haryana
Panipat,Very Poor,306,"PM
2.5",1/1,Haryana
Ghaziabad,Poor,298,"PM , PM
2.5 10",4/4,Uttar Pradesh
Jind,Poor,293,"PM
2.5",1/1,Haryana
Charkhi Dadri,Poor,292,"PM
2.5",1/1,Haryana
Delhi,Poor,292,"PM , PM
2.5 10",38/39,Delhi
Manesar,Poor,291,"PM
2.5",1/1,Haryana
Kaithal,Poor,283,"PM
2.5",1/1,Haryana
Greater Noida,Poor,270,"PM , PM
2.5 10",2/2,Uttar Pradesh
Kota,Poor,265,"PM
2.5",3/3,Rajasthan
Meerut,Poor,258,"PM , PM
2.5 10",2/3,Uttar Pradesh
Baghpat,Poor,249,"PM
2.5",1/2,Uttar Pradesh
Nandesari,Poor,246,"PM
2.5",1/1,Gujarat
Sri Ganganagar,Poor,246,"PM
10",1/1,Rajasthan
Ballabgarh,Poor,245,"PM
2.5",1/1,Haryana
Hanumangarh,Poor,242,"PM
2.5",1/1,Rajasthan
Bulandshahr,Poor,238,"PM
2.5",1/1,Uttar Pradesh
Bhiwadi,Poor,236,"PM
10",2/2,Rajasthan
Gurugram,Poor,234,"PM , PM
2.5 10",3/4,Haryana
Pratapgarh,Poor,231,"PM
2.5",1/1,Uttar Pradesh
Chittorgarh,Poor,229,"PM
2.5",1/1,Rajasthan
Bathinda,Poor,227,"PM
2.5",1/1,Punjab
Sagar,Poor,227,"PM
2.5",1/2,Madhya Pradesh
Hapur,Poor,226,"PM
2.5",1/1,Uttar Pradesh
Yamuna Nagar,Poor,226,"PM
2.5",1/1,Haryana
Sonipat,Poor,214,"PM
2.5",1/1,Haryana
Jhalawar,Poor,212,"PM
2.5",1/1,Rajasthan
Bharatpur,Poor,209,"PM
2.5",1/1,Rajasthan
Ludhiana,Poor,206,"PM
2.5",1/1,Punjab
Mandideep,Poor,205,"PM
2.5",1/1,Madhya Pradesh
Pithampur,Poor,205,"PM
2.5",1/1,Madhya Pradesh
Muzaffarnagar,Poor,205,"PM
2.5",1/1,Uttar Pradesh
Barbil,Poor,204,"PM
2.5",1/1,Odisha
Singrauli,Poor,201,"PM
2.5",1/1,Madhya Pradesh
Hajipur,Moderate,200,"PM
2.5",1/1,Bihar
Bikaner,Moderate,199,"PM
10",1/1,Rajasthan
Faridabad,Moderate,198,"PM
2.5",2/4,Haryana
Bundi,Moderate,198,"O
3",1/1,Rajasthan
Khurja,Moderate,194,"PM
10",1/1,Uttar Pradesh
Baddi,Moderate,193,"O
3",1/1,Himachal Pradesh
Sirsa,Moderate,193,"PM
10",1/1,Haryana
Karnal,Moderate,193,"PM
2.5",1/1,Haryana
Hisar,Moderate,187,"PM
2.5",1/1,Haryana
Sikar,Moderate,186,"PM
10",1/1,Rajasthan
Bhopal,Moderate,182,"PM
2.5",3/3,Madhya Pradesh
Gwalior,Moderate,178,"PM
10",3/4,Madhya Pradesh
Karauli,Moderate,176,"PM
2.5",1/1,Rajasthan
Lucknow,Moderate,172,"PM , PM
2.5 10",6/6,Uttar Pradesh
Haldia,Moderate,172,"PM
2.5",1/1,West Bengal
Angul,Moderate,172,"PM
2.5",1/1,Odisha
Gorakhpur,Moderate,169,"PM
10",1/1,Uttar Pradesh
Patna,Moderate,168,"PM , PM
2.5 10",5/6,Bihar
Howrah,Moderate,166,"PM
2.5",5/5,West Bengal
Panchkula,Moderate,166,"PM
2.5",1/1,Haryana
Bhiwani,Moderate,162,"PM
2.5",1/1,Haryana
Jabalpur,Moderate,162,"PM
2.5",4/4,Madhya Pradesh
Bihar Sharif,Moderate,162,"PM
2.5",1/1,Bihar
Dungarpur,Moderate,161,"O
3",1/1,Rajasthan
Dausa,Moderate,158,"PM
10",1/1,Rajasthan
Baran,Moderate,158,"O
3",1/1,Rajasthan
Jalandhar,Moderate,158,"PM
2.5",1/1,Punjab
Sawai Madhopur,Moderate,156,"O
3",1/1,Rajasthan
Gummidipoondi,Moderate,153,"PM
2.5",1/1,Tamil Nadu
Rupnagar,Moderate,153,"PM
2.5",1/1,Punjab
Bhilwara,Moderate,152,"PM
2.5",1/1,Rajasthan
Jaipur,Moderate,151,"PM , PM
2.5 10",6/6,Rajasthan
Ratlam,Moderate,150,"PM
2.5",1/1,Madhya Pradesh
Churu,Moderate,148,"PM
10",1/1,Rajasthan
Chengalpattu,Moderate,147,"PM
2.5",1/1,Tamil Nadu
Keonjhar,Moderate,147,"PM
10",1/1,Odisha
Khanna,Moderate,144,"PM
2.5",1/1,Punjab
Tonk,Moderate,144,"PM
2.5",1/1,Rajasthan
Kolkata,Moderate,142,"PM
2.5",7/7,West Bengal
Nagaur,Moderate,141,"PM
10",1/1,Rajasthan
Ambala,Moderate,139,"PM
2.5",1/1,Haryana
Katni,Moderate,137,"PM
10",1/1,Madhya Pradesh
Dewas,Moderate,137,"PM
2.5",1/1,Madhya Pradesh
Prayagraj,Moderate,135,"PM , PM
2.5 10",3/3,Uttar Pradesh
Dhanbad,Moderate,134,"PM
10",1/2,Jharkhand
Jaisalmer,Moderate,134,"PM
10",1/1,Rajasthan
Vrindavan,Moderate,133,"PM
10",1/1,Uttar Pradesh
Moradabad,Moderate,132,"PM , PM
2.5 10",6/7,Uttar Pradesh
Dholpur,Moderate,131,"PM
2.5",1/1,Rajasthan
Asansol,Moderate,129,"PM , PM
2.5 10",4/4,West Bengal
Kishanganj,Moderate,129,"PM
10",1/1,Bihar
Pali,Moderate,127,"PM
10",1/1,Rajasthan
Amritsar,Moderate,126,"PM
2.5",1/1,Punjab
Gaya,Moderate,126,"PM , PM
2.5 10",2/3,Bihar
