City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Nandesari,Moderate,165,"PM
2.5",1/1,Gujarat
Gummidipoondi,Moderate,163,"PM
2.5",1/1,Tamil Nadu
Greater Noida,Moderate,143,"PM
10",2/2,Uttar Pradesh
Bulandshahr,Moderate,131,"PM
10",1/1,Uttar Pradesh
Visakhapatnam,Moderate,130,"PM
10",1/1,Andhra Pradesh
Chhapra,Moderate,124,"PM
2.5",1/1,Bihar
Ghaziabad,Moderate,124,"PM
10",4/4,Uttar Pradesh
Pratapgarh,Moderate,117,"PM
10",1/1,Uttar Pradesh
Aurangabad (Bihar),Moderate,116,"PM
10",1/1,Bihar
Kalyan,Moderate,114,"PM
10",1/2,Maharashtra
Byrnihat,Moderate,113,"PM
2.5",1/1,Meghalaya
Banswara,Moderate,110,"PM
10",1/1,Rajasthan
Baddi,Moderate,108,"PM
10",1/1,Himachal Pradesh
Delhi,Moderate,108,"PM , CO, O
2.5 3",33/39,Delhi
Vapi,Moderate,106,"PM
10",1/1,Gujarat
Noida,Moderate,104,"PM
10",4/4,Uttar Pradesh
Nalbari,Moderate,103,"PM
2.5",1/1,Assam
Sagar,Moderate,101,"PM
10",1/2,Madhya Pradesh
Tonk,Moderate,101,"PM
10",1/1,Rajasthan
Siwan,Satisfactory,98,CO,1/1,Bihar
Eloor,Satisfactory,94,CO,1/1,Kerala
Purnia,Satisfactory,94,CO,1/1,Bihar
Meerut,Satisfactory,93,"PM
10",3/3,Uttar Pradesh
Katihar,Satisfactory,93,CO,1/1,Bihar
Dholpur,Satisfactory,91,"PM
10",1/1,Rajasthan
Hapur,Satisfactory,91,"PM
10",1/1,Uttar Pradesh
Lucknow,Satisfactory,90,"PM , PM
10 2.5",5/6,Uttar Pradesh
Rajgir,Satisfactory,89,CO,1/1,Bihar
Jaipur,Satisfactory,88,"NO , PM
2 10",5/6,Rajasthan
Keonjhar,Satisfactory,87,"PM
10",1/1,Odisha
Gurugram,Satisfactory,87,"PM
10",1/4,Haryana
Chittoor,Satisfactory,87,"PM
2.5",1/1,Andhra Pradesh
Boisar,Satisfactory,86,"PM
10",1/1,Maharashtra
Moradabad,Satisfactory,86,"PM
10",5/7,Uttar Pradesh
Pithampur,Satisfactory,86,"PM
10",1/1,Madhya Pradesh
Mandi Gobindgarh,Satisfactory,84,"PM
2.5",1/1,Punjab
Agra,Satisfactory,84,"PM
10",6/6,Uttar Pradesh
Jhansi,Satisfactory,84,"PM
10",1/1,Uttar Pradesh
Kota,Satisfactory,84,"PM
10",3/3,Rajasthan
Dhanbad,Satisfactory,84,"NO
2",1/2,Jharkhand
Bhiwadi,Satisfactory,83,"PM , PM
10 2.5",2/2,Rajasthan
Durgapur,Satisfactory,83,"PM , PM
10 2.5",3/3,West Bengal
Muzaffarnagar,Satisfactory,83,"PM
10",1/1,Uttar Pradesh
Motihari,Satisfactory,83,"PM
10",1/1,Bihar
Bileipada,Satisfactory,81,"PM
2.5",1/1,Odisha
Samastipur,Satisfactory,80,"PM
10",1/1,Bihar
Chennai,Satisfactory,79,"PM , CO
10",8/9,Tamil Nadu
Asansol,Satisfactory,79,"PM , PM
10 2.5",4/4,West Bengal
Patna,Satisfactory,79,"PM , CO
10",5/6,Bihar
Karauli,Satisfactory,79,"PM
10",1/1,Rajasthan
Mandideep,Satisfactory,78,"PM
10",1/1,Madhya Pradesh
Sangli,Satisfactory,78,"PM
10",1/1,Maharashtra
Baran,Satisfactory,78,"PM
10",1/1,Rajasthan
