City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Buxar,Poor,250,"PM
2.5",1/1,
Nandesari,Poor,220,"PM
2.5",1/1,Gujarat
Begusarai,Poor,202,"PM
2.5",1/1,Bihar
Byrnihat (Meghalaya),Moderate,151,"PM
2.5",1/1,
Sonipat,Moderate,133,"PM
10",1/1,
Gummidipoondi,Moderate,119,"PM
10",1/1,
Siliguri,Moderate,119,NO2,1/1,
Bikaner,Moderate,115,"PM
10",1/1,
Mandi gobindgarh,Moderate,112,"PM
10",1/1,
Bareilly,Moderate,111,"O , SO2
3",2/2,Uttar Pradesh
Greater noida,Moderate,111,"PM
10",2/2,Uttar Pradesh
Barmer,Moderate,110,"PM
10",1/1,Rajasthan
Chhal,Moderate,107,"PM
10",1/1,Chhattisgarh
Dhanbad,Moderate,106,NO2,1/2,
Panipat,Moderate,106,"PM
10",1/1,Haryana
Siwan,Moderate,105,"PM
10",1/1,Bihar
Visakhapatnam,Moderate,104,"PM
10",1/1,
Khora,Moderate,102,CO,1/1,
Baddi,Moderate,102,CO,1/1,
Charkhi dadri,Moderate,101,"PM
2.5",1/1,Haryana
Byrnihat (Assam),Moderate,101,"PM
2.5",1/1,
Gurugram,Satisfactory,100,"PM , PM
2.5 10",4/4,Haryana
Alwar,Satisfactory,99,"PM , PM
2.5 10",2/2,Rajasthan
Narnaul,Satisfactory,98,"PM
2.5",1/1,Haryana
Mandideep,Satisfactory,98,"PM
10",1/1,
Mandikhera,Satisfactory,97,"PM
10",1/1,
Jhunjhunu,Satisfactory,94,"PM
10",1/1,
Amritsar,Satisfactory,92,"PM
10",1/1,Punjab
Shamli,Satisfactory,91,CO,1/1,
Chhapra,Satisfactory,91,CO,1/1,Gujarat
Ambernath,Satisfactory,87,"PM
10",1/1,
Bathinda,Satisfactory,85,CO,1/1,Punjab
Machilipatnam,Satisfactory,83,"PM
2.5",1/1,Andhra Pradesh
Hapur,Satisfactory,83,CO,1/1,
Pali,Satisfactory,81,"PM
10",1/1,Rajasthan
Jaisalmer,Satisfactory,81,"PM
10",1/1,Rajasthan
Delhi,Satisfactory,80,"PM
10",44/46,National Capital Territory of Delhi
Dharuhera,Satisfactory,80,"PM
2.5",1/1,
Vatva,Satisfactory,78,"PM
10",1/1,
Tumidih,Satisfactory,77,"PM
2.5",1/1,Chhattisgarh
Sirsa,Satisfactory,77,CO,1/1,Haryana
Fatehabad,Satisfactory,76,"PM
10",1/1,Haryana
Chennai,Satisfactory,76,"PM
10",7/9,Tamil Nadu
Bileipada,Satisfactory,76,"PM
10",1/1,
Bhiwadi,Satisfactory,76,"PM
10",2/2,Rajasthan
Jodhpur,Satisfactory,75,"PM
10",5/5,
Kalyan,Satisfactory,75,"CO, PM
10",2/2,Maharashtra
Yamuna nagar,Satisfactory,75,"PM
10",1/1,
Ghaziabad,Satisfactory,74,"CO, PM
10",6/7,Uttar Pradesh
Manguraha,Satisfactory,73,"PM
10",1/1,Bihar
Faridabad,Satisfactory,73,"PM , PM
10 2.5",3/4,Haryana
Tonk,Satisfactory,72,"PM
10",1/1,Rajasthan
Noida,Satisfactory,72,"PM , O
10 3",4/4,Uttar Pradesh
Agra,Satisfactory,72,"PM , PM , SO2
10 2.5",6/6,Uttar Pradesh
Sri ganganagar,Satisfactory,71,NO2,1/1,
Vadodara,Satisfactory,70,CO,1/1,Gujarat
Rajsamand,Satisfactory,70,"O
3",1/1,Rajasthan
Satna,Satisfactory,70,"PM
10",1/1,Madhya Pradesh
Katihar,Satisfactory,70,CO,1/1,Bihar
Nagaur,Satisfactory,69,"PM
10",1/1,
Ambala,Satisfactory,69,"PM
10",1/1,Haryana
