City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Khora,Very Poor,302,"PM
2.5",1/1,
Saharsa,Poor,242,"PM
10",1/1,Bihar
Gurugram,Poor,242,"PM
2.5",4/4,Haryana
Greater noida,Poor,239,"PM
10",2/2,
Noida,Poor,206,"PM , PM
10 2.5",4/4,Uttar Pradesh
Manesar,Poor,204,"PM
2.5",1/1,Haryana
Yamuna nagar,Moderate,200,"PM
2.5",1/1,Haryana
Mandi gobindgarh,Moderate,196,"PM
2.5",1/1,
Bahadurgarh,Moderate,190,"PM
2.5",1/1,Haryana
Fatehpur sikri,Moderate,190,"PM
2.5",1/1,
Hapur,Moderate,185,"PM
2.5",1/1,Uttar Pradesh
Mathura,Moderate,183,"PM
2.5",1/1,
Ghaziabad,Moderate,178,"PM
2.5",6/7,
Delhi,Moderate,178,"PM , PM , O
10 2.5 3",43/46,National Capital Territory of Delhi
Gajraula,Moderate,178,"PM
2.5",1/1,Uttar Pradesh
Baghpat,Moderate,174,"PM
10",1/1,Uttar Pradesh
Vatva,Moderate,173,"PM
2.5",1/1,
Modinagar,Moderate,172,"O
3",1/1,Rajasthan
Byrnihat (Meghalaya),Moderate,169,"PM
2.5",1/1,
Jind,Moderate,169,"PM
2.5",1/1,Haryana
Pithampur,Moderate,165,"PM
2.5",1/1,Madhya Pradesh
Baraut,Moderate,162,"PM
2.5",1/1,Uttar Pradesh
Bikaner,Moderate,159,"PM
10",1/1,Rajasthan
Pali,Moderate,157,"PM
2.5",1/1,
Karauli,Moderate,151,"PM
10",1/1,Rajasthan
Bhiwadi,Moderate,150,"PM , PM
2.5 10",2/2,Rajasthan
Jalandhar,Moderate,148,"PM
2.5",1/1,
Nagaur,Moderate,147,"PM
10",1/1,Rajasthan
Vrindavan,Moderate,143,"PM , PM
10 2.5",2/2,Uttar Pradesh
Meerut,Moderate,141,"PM , PM
2.5 10",4/4,
Dausa,Moderate,141,"PM
10",1/1,Rajasthan
Gorakhpur,Moderate,140,"PM
2.5",1/1,
Tonk,Moderate,140,CO,1/1,
Ahmedabad,Moderate,138,"PM
2.5",8/9,Gujarat
Ambala,Moderate,138,"PM
10",1/1,Haryana
Bulandshahr,Moderate,137,"PM
10",1/1,Uttar Pradesh
Alwar,Moderate,136,"PM , PM
10 2.5",2/2,Rajasthan
Charkhi dadri,Moderate,136,"PM
2.5",1/1,
Muzaffarnagar,Moderate,133,"PM
10",1/1,
Dharuhera,Moderate,131,"PM
2.5",1/1,Haryana
Hanumangarh,Moderate,130,"PM
10",1/1,Rajasthan
Jalore,Moderate,124,"PM
10",1/1,
Churu,Moderate,123,"PM
10",1/1,Rajasthan
Sri ganganagar,Moderate,122,"PM
10",1/1,Rajasthan
Khurja,Moderate,120,"PM
10",1/1,
Jaipur,Moderate,119,"PM , PM , CO
2.5 10",6/6,
Ambernath,Moderate,119,"PM
10",1/1,
Chandrapur,Moderate,117,"PM
10",2/2,
Narnaul,Moderate,116,"PM
10",1/1,
Ankleshwar,Moderate,114,"PM
10",1/1,
Faridabad,Moderate,113,"PM , CO
10",2/4,
Kaithal,Moderate,113,"PM
10",1/1,Haryana
Jodhpur,Moderate,113,"PM
10",5/5,
Hajipur,Moderate,112,"PM
2.5",1/1,Bihar
Jhunjhunu,Moderate,111,"O
3",1/1,
Sirsa,Moderate,110,"PM
10",1/1,Haryana
Jaisalmer,Moderate,110,"PM
10",1/1,
Bharatpur,Moderate,110,"PM
10",1/1,
Udaipur,Moderate,108,"PM
10",1/1,Rajasthan
Eloor,Moderate,108,CO,1/1,
Moradabad,Moderate,107,"PM
10",6/6,Uttar Pradesh
Durgapur,Moderate,106,"CO, PM
10",2/3,
Sawai madhopur,Moderate,106,"PM
10",1/1,Rajasthan
Amritsar,Moderate,105,"PM
10",1/1,
Malegaon,Moderate,104,"PM
10",1/1,Maharashtra
Gwalior,Moderate,104,"PM , PM
2.5 10",3/4,Madhya Pradesh
Mandideep,Moderate,103,"PM
10",1/1,Madhya Pradesh
Hisar,Moderate,103,"PM
10",1/1,Haryana
Jalna,Moderate,102,"PM
2.5",1/1,Maharashtra
Rajkot,Moderate,102,"PM
10",1/1,
Kurukshetra,Moderate,102,"PM
10",1/1,
Bhilwara,Moderate,102,"PM
10",1/1,Rajasthan
Ludhiana,Moderate,101,"PM
2.5",1/1,
Bhagalpur,Moderate,101,"CO, PM
10",2/2,
Agra,Moderate,101,"PM
10",5/6,Uttar Pradesh
Manguraha,Satisfactory,100,"PM
10",1/1,
Hingoli,Satisfactory,98,"PM
10",1/1,Maharashtra
Mysuru,Satisfactory,98,"O
3",1/1,Karnataka
Ajmer,Satisfactory,97,"PM
10",1/1,Rajasthan
Palwal,Satisfactory,97,CO,1/1,Haryana
Parbhani,Satisfactory,96,"PM
10",1/1,Maharashtra
Amaravati,Satisfactory,96,"PM
10",1/1,Andhra Pradesh
Samastipur,Satisfactory,93,"PM
2.5",1/1,
Srinagar,Satisfactory,93,"PM
10",1/2,
Surat,Satisfactory,92,"PM , PM
10 2.5",2/2,
Chittorgarh,Satisfactory,92,"O
3",1/1,Rajasthan
Baddi,Satisfactory,91,"PM
10",1/1,
Barmer,Satisfactory,89,"O
3",1/1,Rajasthan
Fatehabad,Satisfactory,89,"PM
10",1/1,Haryana
Gandhinagar,Satisfactory,88,"PM , PM
10 2.5",2/3,Gujarat
Jhansi,Satisfactory,88,"PM
10",1/1,
Katihar,Satisfactory,88,CO,1/1,Bihar
Rajsamand,Satisfactory,87,"PM
10",1/1,
Vadodara,Satisfactory,87,CO,1/1,
Patiala,Satisfactory,87,"PM
10",1/1,Punjab
Bareilly,Satisfactory,86,"PM , SO2
10",2/2,Uttar Pradesh
Sirohi,Satisfactory,84,"O
3",1/1,Rajasthan
Dholpur,Satisfactory,84,"PM
10",1/1,Rajasthan
Byrnihat (Assam),Satisfactory,83,"PM
2.5",1/1,
Dungarpur,Satisfactory,83,"PM
2.5",1/1,
Rohtak,Satisfactory,83,"PM
2.5",1/1,
Mehsana,Satisfactory,83,"PM
10",1/1,
Nanded,Satisfactory,82,"PM
10",1/1,
Pratapgarh,Satisfactory,81,"PM
2.5",1/1,Uttar Pradesh
Nalbari,Satisfactory,81,"PM
2.5",1/1,
Kota,Satisfactory,81,"PM
10",3/3,
Dehradun,Satisfactory,79,"PM
10",1/1,Uttarakhand
Pampore,Satisfactory,79,"PM
10",1/1,
Paradeep,Satisfactory,79,CO,1/1,
Araria,Satisfactory,79,"PM
10",1/1,
Dharwad,Satisfactory,78,"PM
10",1/1,Karnataka
Patna,Satisfactory,77,"PM , PM
10 2.5",6/6,Bihar
Dewas,Satisfactory,76,"PM
10",1/1,Madhya Pradesh
Sonipat,Satisfactory,76,"PM
10",1/1,Haryana
Panchgaon,Satisfactory,76,NO2,1/1,
Nandesari,Satisfactory,76,"PM
2.5",1/1,Gujarat
Talcher,Satisfactory,76,SO2,1/1,
Navi mumbai,Satisfactory,75,"PM , PM
2.5 10",5/8,
Udupi,Satisfactory,75,"PM
10",1/1,Karnataka
Satara,Satisfactory,74,"PM
10",1/1,
Munger,Satisfactory,74,SO2,1/1,
Raebareli,Satisfactory,74,"PM
10",1/2,Uttar Pradesh
Bundi,Satisfactory,73,"PM
2.5",1/1,Rajasthan
Varanasi,Satisfactory,72,"PM
10",4/4,Uttar Pradesh
Bhavnagar,Satisfactory,71,"PM
10",1/1,
Satna,Satisfactory,70,"PM
10",1/1,
Bhopal,Satisfactory,70,"PM
10",3/3,Madhya Pradesh
Chittoor,Satisfactory,70,"PM
2.5",1/1,
Bhiwandi,Satisfactory,70,"PM
10",1/1,Maharashtra
Hyderabad,Satisfactory,70,"PM , PM
2.5 10",14/14,
Khanna,Satisfactory,70,"PM
10",1/1,Punjab
Bathinda,Satisfactory,70,"PM
2.5",1/1,
Sagar,Satisfactory,68,"PM
10",1/2,
Nagpur,Satisfactory,68,"PM , PM
10 2.5",3/4,
Banswara,Satisfactory,68,"PM
10",1/1,Rajasthan
Jalgaon,Satisfactory,67,"PM
2.5",1/1,
Kanpur,Satisfactory,66,"PM , PM
10 2.5",3/4,Uttar Pradesh
Lucknow,Satisfactory,66,"PM , PM , CO
2.5 10",6/6,Uttar Pradesh
Raipur,Satisfactory,66,"PM
10",4/4,
Guwahati,Satisfactory,66,"CO, PM , PM
2.5 10",3/4,Assam
Guntur,Satisfactory,66,"PM
10",1/1,Andhra Pradesh
Machilipatnam,Satisfactory,66,"PM
10",1/1,
Katni,Satisfactory,66,"PM
10",1/1,Madhya Pradesh
Ujjain,Satisfactory,65,"O
3",1/2,
Siwan,Satisfactory,65,CO,1/1,Bihar
Visakhapatnam,Satisfactory,65,"PM
10",1/1,Andhra Pradesh
Nashik,Satisfactory,64,"CO, PM
10",4/4,Maharashtra
Kadapa,Satisfactory,62,"PM
2.5",1/1,
Rupnagar,Satisfactory,62,CO,1/1,Punjab
Pune,Satisfactory,62,"CO, PM
10",7/9,Maharashtra
Ballabgarh,Satisfactory,61,"PM
10",1/1,Haryana
Nellore,Satisfactory,60,"PM
10",1/1,Andhra Pradesh
Vijayawada,Satisfactory,60,"PM , PM
10 2.5",2/4,Andhra Pradesh
Angul,Satisfactory,60,CO,1/1,
Kakinada,Satisfactory,59,CO,1/1,Andhra Pradesh
Dombivli,Satisfactory,59,"O
3",1/1,
Begusarai,Satisfactory,59,CO,1/1,
Jhalawar,Satisfactory,59,"PM
10",1/1,Rajasthan
Ulhasnagar,Satisfactory,58,"PM
10",2/2,
Hubballi,Satisfactory,58,"PM
10",1/2,
