City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Mandi Gobindgarh,Poor,296,"PM
2.5",1/1,Punjab
Bulandshahr,Poor,210,"O
3",1/1,Uttar Pradesh
Rupnagar,Poor,205,"PM
2.5",1/1,Punjab
Ballabgarh,Moderate,199,"PM
2.5",1/1,Haryana
Gurugram,Moderate,192,"PM , PM
2.5 10",3/4,Haryana
Greater Noida,Moderate,186,"PM
10",2/2,Uttar Pradesh
Charkhi Dadri,Moderate,176,"PM
2.5",1/1,Haryana
Sri Ganganagar,Moderate,171,"O
3",1/1,Rajasthan
Nandesari,Moderate,165,"PM
2.5",1/1,Gujarat
Ghaziabad,Moderate,162,"PM
10",4/4,Uttar Pradesh
Faridabad,Moderate,161,"PM
2.5",3/4,Haryana
Sonipat,Moderate,157,"PM
2.5",1/1,Haryana
Delhi,Moderate,154,"PM , O , PM
2.5 3 10",44/47,Delhi
Baran,Moderate,153,"O
3",1/1,Rajasthan
Barbil,Moderate,150,"O
3",1/1,Odisha
Singrauli,Moderate,147,"PM
10",1/1,Madhya Pradesh
Noida,Moderate,147,"PM
10",4/4,Uttar Pradesh
Rohtak,Moderate,138,"PM
2.5",1/1,Haryana
Baddi,Moderate,135,"PM
10",1/1,Himachal Pradesh
Bhiwadi,Moderate,129,"PM
10",2/2,Rajasthan
Pithampur,Moderate,125,"PM
10",1/1,Madhya Pradesh
Dhanbad,Moderate,124,"PM
10",1/2,Jharkhand
Baghpat,Moderate,124,"PM
10",1/2,Uttar Pradesh
Bileipada,Moderate,123,"PM
2.5",1/1,Odisha
Chandrapur,Moderate,123,"PM
10",2/2,Maharashtra
Gummidipoondi,Moderate,120,"PM
10",1/1,Tamil Nadu
Mahad,Moderate,119,"PM
2.5",1/1,Maharashtra
Malegaon,Moderate,118,"PM
10",1/1,Maharashtra
Sawai Madhopur,Moderate,117,"PM
10",1/1,Rajasthan
Sirsa,Moderate,117,"PM
10",1/1,Haryana
Manesar,Moderate,116,"PM
2.5",1/1,Haryana
Palwal,Moderate,115,CO,1/1,Haryana
Dhule,Moderate,114,"PM
10",1/1,Maharashtra
Ankleshwar,Moderate,114,"PM
10",1/1,Gujarat
Bharatpur,Moderate,114,"O
3",1/1,Rajasthan
Meerut,Moderate,113,"O , PM
3 10",3/3,Uttar Pradesh
Gwalior,Moderate,112,"O , PM
3 10",3/4,Madhya Pradesh
Jaipur,Moderate,112,"O , NO , PM
3 2 10",6/6,Rajasthan
Agartala,Moderate,112,"PM
2.5",1/2,Tripura
Khurja,Moderate,110,"PM
10",1/1,Uttar Pradesh
Pali,Moderate,110,"PM
10",1/1,Rajasthan
Visakhapatnam,Moderate,109,"PM
10",1/1,Andhra Pradesh
Nagaur,Moderate,109,"PM
10",1/1,Rajasthan
Bikaner,Moderate,109,"PM
10",1/1,Rajasthan
Kalyan,Moderate,108,"PM , PM
2.5 10",2/2,Maharashtra
Ludhiana,Moderate,108,"PM
10",1/1,Punjab
Udaipur,Moderate,108,"PM
10",1/1,Rajasthan
Pratapgarh,Moderate,107,"PM
10",1/1,Uttar Pradesh
Panipat,Moderate,107,"PM
10",1/1,Haryana
Bengaluru,Moderate,106,"O , PM
3 10",11/14,Karnataka
Agra,Moderate,106,"PM
10",6/6,Uttar Pradesh
Surat,Moderate,104,"PM
10",2/2,Gujarat
Manguraha,Moderate,104,"PM
10",1/1,Bihar
Muzaffarnagar,Moderate,104,"PM
10",1/1,Uttar Pradesh
Hanumangarh,Moderate,104,"PM
10",1/1,Rajasthan
Bhilwara,Moderate,104,"PM
10",1/1,Rajasthan
Jhalawar,Moderate,103,"O
3",1/1,Rajasthan
Dewas,Moderate,102,"PM
10",1/1,Madhya Pradesh
Aurangabad (Bihar),Moderate,102,CO,1/1,Bihar
Pimpri-Chinchwad,Moderate,102,"PM
10",4/4,Maharashtra
Vatva,Moderate,102,"PM
10",1/1,Gujarat
Patna,Moderate,101,"PM , PM
2.5 10",5/6,Bihar
Korba,Moderate,101,"PM
10",1/2,Chhattisgarh
Belapur,Moderate,101,"PM
10",1/1,Maharashtra
Hajipur,Satisfactory,100,"PM
2.5",1/1,Bihar
Narnaul,Satisfactory,100,"PM
2.5",1/1,Haryana
Nashik,Satisfactory,100,"PM , PM
2.5 10",4/4,Maharashtra
Cuttack,Satisfactory,99,"PM
10",1/1,Odisha
Talcher,Satisfactory,99,"PM
10",1/1,Odisha
Angul,Satisfactory,98,"O
3",1/1,Odisha
Mehsana,Satisfactory,96,"PM
10",1/1,Gujarat
Alwar,Satisfactory,96,"PM
10",1/1,Rajasthan
Pune,Satisfactory,96,"PM , PM
2.5 10",10/13,Maharashtra
Yamuna Nagar,Satisfactory,95,"PM
2.5",1/1,Haryana
Hisar,Satisfactory,95,"PM
10",1/1,Haryana
Ahmednagar,Satisfactory,94,"PM
10",1/1,Maharashtra
Kurukshetra,Satisfactory,93,"PM
10",1/1,Haryana
Gandhinagar,Satisfactory,93,"PM
10",3/3,Gujarat
Balasore,Satisfactory,93,"O
3",1/1,Odisha
Samastipur,Satisfactory,92,"PM
2.5",1/1,Bihar
Bundi,Satisfactory,92,"O
3",1/1,Rajasthan
Churu,Satisfactory,91,"PM
10",1/1,Rajasthan
Badlapur,Satisfactory,91,"PM
10",1/1,Maharashtra
Karauli,Satisfactory,91,"PM
10",1/1,Rajasthan
Perundurai,Satisfactory,90,"PM
10",1/1,Tamil Nadu
Amritsar,Satisfactory,90,"PM
10",1/1,Punjab
Dausa,Satisfactory,90,"O
3",1/1,Rajasthan
Ahmedabad,Satisfactory,89,"CO, PM
10",7/9,Gujarat
Damoh,Satisfactory,89,"PM
10",1/1,Madhya Pradesh
Byrnihat,Satisfactory,89,"PM
2.5",1/1,Meghalaya
Kannur,Satisfactory,88,"PM
2.5",1/1,Kerala
Chhal,Satisfactory,88,"PM
10",1/1,Chhattisgarh
Rajkot,Satisfactory,87,CO,1/1,Gujarat
Katni,Satisfactory,87,"O
3",1/1,Madhya Pradesh
Jalgaon,Satisfactory,86,"PM
10",1/1,Maharashtra
Solapur,Satisfactory,86,"PM , PM
2.5 10",2/3,Maharashtra
Tonk,Satisfactory,85,"O
3",1/1,Rajasthan
Jalandhar,Satisfactory,85,"PM
10",1/1,Punjab
Dholpur,Satisfactory,85,"PM
10",1/1,Rajasthan
Jalna,Satisfactory,85,"PM
10",1/1,Maharashtra
Bhavnagar,Satisfactory,85,"PM
10",1/1,Gujarat
