City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Byrnihat,Poor,212,"PM
2.5",1/1,Meghalaya
Sawai Madhopur,Moderate,186,"PM
10",1/1,Rajasthan
Dewas,Moderate,185,"O
3",1/1,Madhya Pradesh
Singrauli,Moderate,183,"PM
2.5",1/1,Madhya Pradesh
Sikar,Moderate,174,"PM
10",1/1,Rajasthan
Bileipada,Moderate,171,"PM
10",1/1,Odisha
Tirupati,Moderate,161,"PM
2.5",1/1,Andhra Pradesh
Tonk,Moderate,160,"PM
10",1/1,Rajasthan
Baran,Moderate,158,"O
3",1/1,Rajasthan
Yadgir,Moderate,156,"PM
2.5",1/1,Karnataka
Ahmedabad,Moderate,152,"PM
10",7/9,Gujarat
Nagaur,Moderate,152,"PM
10",1/1,Rajasthan
Barbil,Moderate,152,"O
3",1/1,Odisha
Saharsa,Moderate,151,"PM
10",1/1,Bihar
Pali,Moderate,149,"PM
10",1/1,Rajasthan
Hajipur,Moderate,148,"PM
2.5",1/1,Bihar
Vatva,Moderate,146,"PM
2.5",1/1,Gujarat
Pithampur,Moderate,142,"PM
10",1/1,Madhya Pradesh
Faridabad,Moderate,142,"PM , PM
2.5 10",3/4,Haryana
Mahad,Moderate,141,"PM
2.5",1/1,Maharashtra
Nalbari,Moderate,140,"PM
2.5",1/1,Assam
Gandhinagar,Moderate,139,"PM
10",3/3,Gujarat
Jhunjhunu,Moderate,139,"PM
10",1/1,Rajasthan
Pratapgarh,Moderate,138,"PM
10",1/1,Uttar Pradesh
Jaipur,Moderate,136,"PM
10",6/6,Rajasthan
Sonipat,Moderate,136,"PM
2.5",1/1,Haryana
Sri Ganganagar,Moderate,135,"O
3",1/1,Rajasthan
Ajmer,Moderate,135,"PM
10",1/1,Rajasthan
Bhagalpur,Moderate,134,"PM
10",2/2,Bihar
Bikaner,Moderate,133,"PM
10",1/1,Rajasthan
Barmer,Moderate,133,"PM
10",1/1,Rajasthan
Jaisalmer,Moderate,132,"PM
10",1/1,Rajasthan
Gurugram,Moderate,129,"PM , PM
2.5 10",3/4,Haryana
Churu,Moderate,129,"PM
10",1/1,Rajasthan
Patna,Moderate,128,"PM , O
2.5 3",6/6,Bihar
Nagpur,Moderate,127,"PM , PM
2.5 10",4/4,Maharashtra
Udaipur,Moderate,127,"PM
10",1/1,Rajasthan
Nagaon,Moderate,126,"PM
2.5",1/1,Assam
Bhilwara,Moderate,126,"PM
10",1/1,Rajasthan
Jhalawar,Moderate,126,"PM
10",1/1,Rajasthan
Virar,Moderate,124,"PM
10",1/1,Maharashtra
Muzaffarpur,Moderate,121,"PM
2.5",3/3,Bihar
Delhi,Moderate,119,"O
3",44/47,Delhi
