City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Agartala,Very Poor,331,"O
3",1/2,Tripura
Tonk,Moderate,189,"PM
2.5",1/1,Rajasthan
Jalore,Moderate,125,"PM
10",1/1,Rajasthan
Gummidipoondi,Moderate,118,"PM
10",1/1,Tamil Nadu
Jaisalmer,Moderate,116,"PM
10",1/1,Rajasthan
Samastipur,Moderate,115,"PM
2.5",1/1,Bihar
Eloor,Moderate,114,CO,1/1,Kerala
Greater Noida,Moderate,114,"PM
10",2/2,Uttar Pradesh
Chhapra,Moderate,114,"NO
2",1/1,Bihar
Mandideep,Moderate,109,"PM
10",1/1,Madhya Pradesh
Pali,Moderate,107,"PM
10",1/1,Rajasthan
Barmer,Moderate,106,"PM
10",1/1,Rajasthan
Noida,Moderate,104,"PM , PM
2.5 10",4/4,Uttar Pradesh
Dausa,Moderate,103,"PM
10",1/1,Rajasthan
Sri Ganganagar,Moderate,102,"PM
10",1/1,Rajasthan
Dhanbad,Satisfactory,99,"NO
2",1/2,Jharkhand
Bikaner,Satisfactory,99,"PM
10",1/1,Rajasthan
Delhi,Satisfactory,98,"PM , PM
2.5 10",37/39,Delhi
Ghaziabad,Satisfactory,95,"PM
10",4/4,Uttar Pradesh
Baddi,Satisfactory,94,"PM
10",1/1,Himachal Pradesh
Jodhpur,Satisfactory,92,"PM
10",5/5,Rajasthan
Chittoor,Satisfactory,91,"PM
2.5",1/1,Andhra Pradesh
Jhansi,Satisfactory,91,"PM
2.5",1/1,Uttar Pradesh
Panchgaon,Satisfactory,91,"PM
2.5",1/1,Haryana
Alwar,Satisfactory,90,"NO
2",1/1,Rajasthan
Sirohi,Satisfactory,90,"PM
10",1/1,Rajasthan
Visakhapatnam,Satisfactory,89,"PM
10",1/1,Andhra Pradesh
Tumidih,Satisfactory,89,"PM
10",1/1,Chhattisgarh
Bhiwadi,Satisfactory,88,"PM , PM
2.5 10",2/2,Rajasthan
Rajgir,Satisfactory,87,CO,1/1,Bihar
Bihar Sharif,Satisfactory,87,"PM
2.5",1/1,Bihar
Nagaur,Satisfactory,85,"PM
10",1/1,Rajasthan
Vatva,Satisfactory,84,"PM
10",1/1,Gujarat
Ajmer,Satisfactory,84,"PM
10",1/1,Rajasthan
Sagar,Satisfactory,83,"PM
10",2/2,Madhya Pradesh
Sawai Madhopur,Satisfactory,81,"PM
10",1/1,Rajasthan
Bhilwara,Satisfactory,80,"PM
10",1/1,Rajasthan
Brajrajnagar,Satisfactory,79,CO,1/1,Odisha
Vapi,Satisfactory,79,"PM
10",1/1,Gujarat
Gurugram,Satisfactory,78,"PM
10",1/4,Haryana
Jalandhar,Satisfactory,77,"PM
10",1/1,Punjab
Mandi Gobindgarh,Satisfactory,77,"PM
10",1/1,Punjab
Udaipur,Satisfactory,76,"PM
10",1/1,Rajasthan
Namakkal,Satisfactory,75,"PM
10",1/1,Tamil Nadu
Agra,Satisfactory,74,"PM , PM
2.5 10",6/6,Uttar Pradesh
Chennai,Satisfactory,74,"PM
10",7/9,Tamil Nadu
Singrauli,Satisfactory,74,"PM
2.5",1/1,Madhya Pradesh
Bareilly,Satisfactory,74,"PM , SO
10 2",2/2,Uttar Pradesh
Nagaon,Satisfactory,73,"PM
2.5",1/1,Assam
Buxar,Satisfactory,73,"O
3",1/1,Bihar
Gwalior,Satisfactory,71,"PM , PM
2.5 10",3/4,Madhya Pradesh
Vijayawada,Satisfactory,70,"PM
2.5",3/4,Andhra Pradesh
Thiruvananthapuram,Satisfactory,70,"NO , PM
2 10",2/2,Kerala
Chhal,Satisfactory,70,"PM
10",1/1,Chhattisgarh
Jalna,Satisfactory,70,"PM
2.5",1/1,Maharashtra
Kohima,Satisfactory,67,"SO
2",1/1,Nagaland
Bettiah,Satisfactory,66,CO,1/1,Bihar
Saharsa,Satisfactory,66,"PM
10",1/1,Bihar
Ahmedabad,Satisfactory,66,"PM , CO
10",9/9,Gujarat
Ulhasnagar,Satisfactory,66,"PM
10",1/1,Maharashtra
Karur,Satisfactory,66,"PM
10",1/1,Tamil Nadu
Badlapur,Satisfactory,66,"PM
10",1/1,Maharashtra
Rajsamand,Satisfactory,65,"PM
10",1/1,Rajasthan
Kanchipuram,Satisfactory,65,"PM
10",1/1,Tamil Nadu
Aurangabad (Bihar),Satisfactory,65,"PM
10",1/1,Bihar
Pithampur,Satisfactory,64,"PM
2.5",1/1,Madhya Pradesh
Muzaffarnagar,Satisfactory,64,"PM
2.5",1/1,Uttar Pradesh
Kota,Satisfactory,64,"PM , CO
10",3/3,Rajasthan
Amritsar,Satisfactory,63,"PM
10",1/1,Punjab
Hyderabad,Satisfactory,63,"PM , CO
10",10/14,Telangana
Moradabad,Satisfactory,62,"PM , PM
2.5 10",5/7,Uttar Pradesh
Patna,Satisfactory,62,"PM , PM
2.5 10",4/6,Bihar
Pune,Satisfactory,62,CO,7/13,Maharashtra
Chittorgarh,Satisfactory,62,"PM
10",1/1,Rajasthan
Kishanganj,Satisfactory,61,"PM
10",1/1,Bihar
Prayagraj,Satisfactory,61,"SO , PM
2 10",3/3,Uttar Pradesh
Tirupati,Satisfactory,60,"PM
2.5",1/1,Andhra Pradesh
Purnia,Satisfactory,60,CO,1/1,Bihar
Tiruchirappalli,Satisfactory,59,"PM
10",1/1,Tamil Nadu
Jaipur,Satisfactory,59,"NO , PM
2 10",6/6,Rajasthan
Ankleshwar,Satisfactory,58,"SO
2",1/1,Gujarat
Jorapokhar,Satisfactory,58,CO,1/1,Jharkhand
Bulandshahr,Satisfactory,58,"PM
10",1/1,Uttar Pradesh
Sasaram,Satisfactory,58,CO,1/1,Bihar
Malegaon,Satisfactory,58,"PM
10",1/1,Maharashtra
Vrindavan,Satisfactory,58,"PM
10",1/1,Uttar Pradesh
Katihar,Satisfactory,57,CO,1/1,Bihar
Hapur,Satisfactory,57,"PM
2.5",1/1,Uttar Pradesh
Durgapur,Satisfactory,57,"PM
10",3/3,West Bengal
Kanpur,Satisfactory,56,"PM , CO
10",3/4,Uttar Pradesh
Churu,Satisfactory,55,"PM
10",1/1,Rajasthan
Pimpri-Chinchwad,Satisfactory,55,"PM , CO
10",4/4,Maharashtra
Bhiwandi,Satisfactory,55,"PM
10",1/1,Maharashtra
Keonjhar,Satisfactory,55,"PM
10",1/1,Odisha
Kolkata,Satisfactory,55,"NO , PM
2 2.5",6/7,West Bengal
Katni,Satisfactory,54,"PM
10",1/1,Madhya Pradesh
Lucknow,Satisfactory,54,"O , PM
3 10",6/6,Uttar Pradesh
Bhagalpur,Satisfactory,54,"SO
2",2/2,Bihar
Angul,Satisfactory,54,CO,1/1,Odisha
Meerut,Satisfactory,53,"O , PM
3 10",3/3,Uttar Pradesh
Rourkela,Satisfactory,53,"PM , PM
2.5 10",2/3,Odisha
Khanna,Satisfactory,53,"PM
10",1/1,Punjab
Mumbai,Satisfactory,52,"CO, PM
10",27/30,Maharashtra
Muzaffarpur,Satisfactory,52,"O , CO
3",3/3,Bihar
Rajamahendravaram,Satisfactory,52,CO,1/1,Andhra Pradesh
Hanumangarh,Satisfactory,52,"PM
10",1/1,Rajasthan
Sangli,Satisfactory,51,"PM
10",1/1,Maharashtra
Dharwad,Satisfactory,51,"PM
10",1/1,Karnataka
Gandhinagar,Satisfactory,51,"PM
10",3/3,Gujarat
Mira-Bhayandar,Satisfactory,51,"NO
2",1/1,Maharashtra
Dewas,Good,50,"SO
2",1/1,Madhya Pradesh
Nalbari,Good,50,"PM
2.5",1/1,Assam
Bengaluru,Good,50,"PM
10",9/14,Karnataka
Ludhiana,Good,49,"PM
10",1/1,Punjab
Palkalaiperur,Good,49,"PM
10",1/1,
Ranipet,Good,49,"PM
2.5",1/1,Tamil Nadu
Navi Mumbai,Good,49,"NO , PM
2 10",5/8,Maharashtra
Anantapur,Good,49,"PM
2.5",1/1,Andhra Pradesh
Arrah,Good,49,CO,1/1,Bihar
Balasore,Good,49,"PM
10",1/1,Odisha
Jhunjhunu,Good,49,"PM
10",1/1,Rajasthan
Shivamogga,Good,49,"PM
10",1/1,Karnataka
Pratapgarh,Good,48,"PM
10",1/1,Uttar Pradesh
Kashipur,Good,48,"PM
10",1/1,Uttarakhand
Khurja,Good,48,CO,1/1,Uttar Pradesh
Gaya,Good,48,"PM , CO, PM
2.5 10",3/3,Bihar
Sikar,Good,47,"PM
10",1/1,Rajasthan
Begusarai,Good,47,"PM
10",1/1,Bihar
Siliguri,Good,47,CO,1/1,West Bengal
Hosur,Good,47,"PM
10",1/1,Tamil Nadu
Bilaspur,Good,47,"PM
10",1/1,Chhattisgarh
Boisar,Good,47,CO,1/1,Maharashtra
Siwan,Good,46,CO,1/1,Bihar
Thrissur,Good,46,"PM
10",1/1,Kerala
Jabalpur,Good,45,"O , PM
3 10",4/4,Madhya Pradesh
Araria,Good,45,"PM
2.5",1/1,Bihar
Howrah,Good,45,"PM , CO
10",5/5,West Bengal
Motihari,Good,45,"PM
2.5",1/1,Bihar
Silchar,Good,45,"PM
10",1/1,Assam
Virudhunagar,Good,45,"PM
10",1/1,Tamil Nadu
Haldia,Good,45,"O
3",1/1,West Bengal
Pudukottai,Good,44,"PM
10",1/1,Tamil Nadu
Bathinda,Good,44,"NO
2",1/1,Punjab
Bharatpur,Good,44,"PM
10",1/1,Rajasthan
Chandigarh,Good,44,"PM , CO
2.5",3/3,Chandigarh
Firozabad,Good,44,"PM , PM
2.5 10",2/2,Uttar Pradesh
Hajipur,Good,44,"PM
2.5",1/1,Bihar
Chandrapur,Good,44,"PM , PM
2.5 10",2/2,Maharashtra
Vijayapura,Good,44,"PM
10",1/1,Karnataka
Nagpur,Good,44,"PM , PM , CO
10 2.5",4/4,Maharashtra
Kalaburagi,Good,44,"CO, PM
10",2/2,Karnataka
Mangalore,Good,44,"PM
10",1/1,Karnataka
Barrackpore,Good,43,"PM
10",1/1,West Bengal
Varanasi,Good,43,"NO , PM
2 10",3/4,Uttar Pradesh
Thane,Good,43,"PM
10",2/2,Maharashtra
Bhopal,Good,43,"O , PM
3 10",3/3,Madhya Pradesh
Tirunelveli,Good,42,CO,1/1,Tamil Nadu
Baripada,Good,42,"PM
10",1/1,Odisha
Baran,Good,42,"O
3",1/1,Rajasthan
Bagalkot,Good,42,"PM
10",1/1,Karnataka
Guwahati,Good,42,"PM , PM , SO
10 2.5 2",3/4,Assam
Talcher,Good,42,"NO
2",1/1,Odisha
Byasanagar,Good,41,"O
3",1/1,Odisha
Gorakhpur,Good,41,"PM
10",1/1,Uttar Pradesh
Indore,Good,41,"NO , SO
2 2",5/6,Madhya Pradesh
Karauli,Good,41,"PM
10",1/1,Rajasthan
Suakati,Good,41,"PM
10",1/1,Odisha
Nagapattinam,Good,40,"O
3",1/1,Tamil Nadu
Patiala,Good,40,"PM
10",1/1,Punjab
Surat,Good,40,CO,1/1,Gujarat
Milupara,Good,40,"PM
10",1/1,Chhattisgarh
Jhalawar,Good,39,"NO
2",1/1,Rajasthan
Jalgaon,Good,39,"PM
2.5",1/1,Maharashtra
Asansol,Good,38,"NO , PM , CO
2 10",4/4,West Bengal
Coimbatore,Good,37,"PM
2.5",1/2,Tamil Nadu
Chikkamagaluru,Good,37,"O
3",1/1,Karnataka
Bileipada,Good,36,CO,1/1,Odisha
Nashik,Good,36,"PM
10",4/4,Maharashtra
Thoothukudi,Good,35,"PM
10",1/1,Tamil Nadu
Korba,Good,35,"PM
10",1/2,Chhattisgarh
Ratlam,Good,35,"NO
2",1/1,Madhya Pradesh
Ahmednagar,Good,35,CO,1/1,Maharashtra
Amravati,Good,34,"PM , CO
10",2/2,Maharashtra
Solapur,Good,34,"PM
10",2/3,Maharashtra
Barbil,Good,33,"O
3",1/1,Odisha
Virar,Good,32,CO,1/1,Maharashtra
Yadgir,Good,32,"NO
2",1/1,Karnataka
Chengalpattu,Good,32,"PM
10",1/1,Tamil Nadu
Gangtok,Good,32,"O
3",1/1,Sikkim
Bhubaneswar,Good,32,"O , PM
3 10",2/2,Odisha
Kollam,Good,31,"PM
10",1/1,Kerala
Rishikesh,Good,31,"PM
10",1/1,Uttarakhand
"Aurangabad
(Maharashtra)",Good,31,"PM
10",3/3,Maharashtra
Bundi,Good,31,"O
3",1/1,Rajasthan
Sivasagar,Good,31,"PM
10",1/1,Assam
Belapur,Good,30,"PM
10",1/1,Maharashtra
Kolhapur,Good,30,"PM
10",2/2,Maharashtra
Tensa,Good,30,"PM
2.5",1/1,Odisha
Mahad,Good,30,"PM
10",1/1,Maharashtra
Puducherry,Good,30,"PM
10",1/1,Puducherry
Mysuru,Good,29,"O
3",1/1,Karnataka
Ramanathapuram,Good,28,CO,1/1,Tamil Nadu
Manguraha,Good,28,"PM
10",1/1,Bihar
Madurai,Good,27,"PM
10",1/1,Tamil Nadu
Ramanagara,Good,27,"SO
2",1/1,Karnataka
Banswara,Good,27,"PM
10",1/1,Rajasthan
