City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Motihari,Poor,217,"PM
2.5",1/1,Bihar
Aurangabad (Bihar),Moderate,151,"PM
10",1/1,Bihar
Sri Ganganagar,Moderate,129,"PM
2.5",1/1,Rajasthan
Thoothukudi,Moderate,123,CO,1/1,Tamil Nadu
Manguraha,Moderate,117,CO,1/1,Bihar
Chhapra,Moderate,114,"NO
2",1/1,Bihar
Gummidipoondi,Moderate,108,"PM
2.5",1/1,Tamil Nadu
Jaisalmer,Moderate,106,"PM
10",1/1,Rajasthan
Buxar,Moderate,104,"O
3",1/1,Bihar
Singrauli,Moderate,101,"PM
2.5",1/1,Madhya Pradesh
Vatva,Moderate,101,"PM
10",1/1,Gujarat
Dhanbad,Satisfactory,98,"NO
2",1/2,Jharkhand
Eloor,Satisfactory,93,CO,1/1,Kerala
Rupnagar,Satisfactory,92,CO,1/1,Punjab
Rajsamand,Satisfactory,92,"O
3",1/1,Rajasthan
Bileipada,Satisfactory,91,"PM
10",1/1,Odisha
Bikaner,Satisfactory,91,"PM
10",1/1,Rajasthan
Bihar Sharif,Satisfactory,90,"PM
2.5",1/1,Bihar
Ajmer,Satisfactory,90,CO,1/1,Rajasthan
Brajrajnagar,Satisfactory,85,CO,1/1,Odisha
Panchgaon,Satisfactory,85,"PM
2.5",1/1,Haryana
Munger,Satisfactory,85,"PM
2.5",1/1,Bihar
Chennai,Satisfactory,84,"PM
10",6/9,Tamil Nadu
Alwar,Satisfactory,83,"NO
2",1/1,Rajasthan
Vapi,Satisfactory,83,"PM
10",1/1,Gujarat
Patna,Satisfactory,82,"PM , PM
2.5 10",6/6,Bihar
Pithampur,Satisfactory,81,"PM
10",1/1,Madhya Pradesh
Dholpur,Satisfactory,81,"PM
10",1/1,Rajasthan
Barmer,Satisfactory,81,"PM
10",1/1,Rajasthan
Greater Noida,Satisfactory,80,"PM
10",2/2,Uttar Pradesh
Bareilly,Satisfactory,77,"SO , PM
2 10",2/2,Uttar Pradesh
Baddi,Satisfactory,77,"PM
10",1/1,Himachal Pradesh
Kanchipuram,Satisfactory,76,"PM
10",1/1,Tamil Nadu
Moradabad,Satisfactory,74,"PM , O , PM
2.5 3 10",6/7,Uttar Pradesh
Chittoor,Satisfactory,73,"PM
2.5",1/1,Andhra Pradesh
Gwalior,Satisfactory,73,"O , PM
3 10",3/4,Madhya Pradesh
Prayagraj,Satisfactory,73,"SO , PM
2 10",3/3,Uttar Pradesh
Jhansi,Satisfactory,73,"PM
10",1/1,Uttar Pradesh
Hajipur,Satisfactory,72,"PM
2.5",1/1,Bihar
Tirupati,Satisfactory,72,"PM
2.5",1/1,Andhra Pradesh
Vijayawada,Satisfactory,72,"PM
2.5",3/4,Andhra Pradesh
