City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Mandideep,Very Poor,322,"PM
2.5",1/1,Madhya Pradesh
Ballabgarh,Very Poor,320,"PM
10",1/1,Haryana
Mandi Gobindgarh,Poor,300,"PM
2.5",1/1,Punjab
Charkhi Dadri,Poor,266,"PM
2.5",1/1,Haryana
Gurugram,Poor,262,"PM
2.5",3/4,Haryana
Ghaziabad,Poor,256,"PM
2.5",4/4,Uttar Pradesh
Delhi,Poor,227,"O , PM
3 2.5",38/40,Delhi
Sri Ganganagar,Poor,221,"PM
2.5",1/1,Rajasthan
Nanded,Poor,214,"PM
2.5",1/1,Maharashtra
Pithampur,Poor,203,"PM
2.5",1/1,Madhya Pradesh
Hajipur,Moderate,198,"PM
2.5",1/1,Bihar
Noida,Moderate,196,"PM
2.5",4/4,Uttar Pradesh
Byasanagar,Moderate,190,"O
3",1/1,Odisha
Sikar,Moderate,188,"PM
10",1/1,Rajasthan
Dharuhera,Moderate,187,"PM
2.5",1/1,Haryana
Bahadurgarh,Moderate,187,"PM
2.5",1/1,Haryana
Bikaner,Moderate,186,"PM
10",1/1,Rajasthan
Jhalawar,Moderate,185,"PM
2.5",1/1,Rajasthan
Greater Noida,Moderate,184,"PM , PM
10 2.5",2/2,Uttar Pradesh
Vatva,Moderate,183,"PM
2.5",1/1,Gujarat
Vadodara,Moderate,182,"PM
2.5",1/1,Gujarat
Rupnagar,Moderate,180,"PM
10",1/1,Punjab
Talcher,Moderate,179,"PM
10",1/1,Odisha
Hanumangarh,Moderate,178,"PM
10",1/1,Rajasthan
Kota,Moderate,177,"PM
2.5",3/3,Rajasthan
Naharlagun,Moderate,176,"PM
2.5",1/1,
Bhiwadi,Moderate,174,"PM
2.5",2/2,Rajasthan
Singrauli,Moderate,172,"PM
10",1/1,Madhya Pradesh
Yamuna Nagar,Moderate,171,"PM
2.5",1/1,Haryana
Cuttack,Moderate,170,"O
3",1/1,Odisha
Manesar,Moderate,169,"PM
2.5",1/1,Haryana
