City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Sri Ganganagar,Poor,274,"O
3",1/1,Rajasthan
Angul,Poor,254,"O
3",1/1,Odisha
Panipat,Moderate,188,"PM
2.5",1/1,Haryana
Sawai Madhopur,Moderate,188,"O
3",1/1,Rajasthan
Byasanagar,Moderate,179,"O
3",1/1,Odisha
Churu,Moderate,178,"O
3",1/1,Rajasthan
Bharatpur,Moderate,177,"O
3",1/1,Rajasthan
Meerut,Moderate,173,"PM , O
10 3",3/4,Uttar Pradesh
Baran,Moderate,170,"O
3",1/1,Rajasthan
Saharsa,Moderate,170,"PM
2.5",1/1,Bihar
Byrnihat (Assam),Moderate,168,"PM
2.5",1/1,Meghalaya
Chittorgarh,Moderate,166,CO,1/1,Rajasthan
Sagar,Moderate,160,"O
3",1/2,Madhya Pradesh
Jhunjhunu,Moderate,160,"O
3",1/1,Rajasthan
Jhalawar,Moderate,159,"O
3",1/1,Rajasthan
Bundi,Moderate,159,"O
3",1/1,Rajasthan
Baddi,Moderate,158,"O
3",1/1,Himachal Pradesh
Vatva,Moderate,155,"PM
2.5",1/1,Gujarat
Noida,Moderate,149,"PM , O
2.5 3",4/4,Uttar Pradesh
Kadapa,Moderate,146,"PM
2.5",1/1,Andhra Pradesh
Ghaziabad,Moderate,146,"PM , O
2.5 3",6/6,Uttar Pradesh
Pithampur,Moderate,137,"PM
10",1/1,Madhya Pradesh
Barmer,Moderate,136,"PM
10",1/1,Rajasthan
Talcher,Moderate,134,"PM
2.5",1/1,Odisha
Byrnihat (Meghalaya),Moderate,132,"PM
10",1/1,Meghalaya
Greater Noida,Moderate,131,"PM , O
10 3",2/2,Uttar Pradesh
Ahmedabad,Moderate,128,"PM , PM
2.5 10",7/9,Gujarat
Sikar,Moderate,125,"O
3",1/1,Rajasthan
Gurugram,Moderate,124,"PM , PM
2.5 10",4/4,Haryana
Sirsa,Moderate,124,"O
3",1/1,Haryana
Gandhinagar,Moderate,124,"PM
10",3/3,Gujarat
Bikaner,Moderate,124,"O
3",1/1,Rajasthan
Jaisalmer,Moderate,122,"PM
10",1/1,Rajasthan
Delhi,Moderate,121,"PM , O
2.5 3",45/47,Delhi
Bhubaneswar,Moderate,120,"CO, O
3",2/2,Odisha
