City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Hapur,Very Poor,389,"PM
2.5",1/1,Uttar Pradesh
Noida,Very Poor,373,"PM
2.5",4/4,Uttar Pradesh
Greater Noida,Very Poor,364,"PM
10",2/2,Uttar Pradesh
Manesar,Very Poor,356,"PM
2.5",1/1,Haryana
Delhi,Very Poor,353,"PM
2.5",39/39,Delhi
Ghaziabad,Very Poor,349,"PM , PM
10 2.5",4/4,Uttar Pradesh
Angul,Very Poor,340,"PM
2.5",1/1,Odisha
Cuttack,Very Poor,332,"PM
2.5",1/1,Odisha
Singrauli,Very Poor,330,"PM
2.5",1/1,Madhya Pradesh
Rohtak,Very Poor,326,"PM
2.5",1/1,Haryana
Meerut,Very Poor,322,"PM , PM
10 2.5",2/3,Uttar Pradesh
Bhubaneswar,Very Poor,321,"PM
2.5",2/2,Odisha
Dharuhera,Very Poor,320,"PM
2.5",1/1,Haryana
Charkhi Dadri,Very Poor,320,"PM
2.5",1/1,Haryana
Muzaffarnagar,Very Poor,314,"PM
2.5",1/1,Uttar Pradesh
Byasanagar,Very Poor,314,"PM
2.5",1/1,Odisha
Balasore,Very Poor,313,"PM
2.5",1/1,Odisha
Dewas,Very Poor,313,"PM
2.5",1/1,Madhya Pradesh
Bhiwadi,Very Poor,312,"PM
2.5",2/2,Rajasthan
Khurja,Very Poor,306,"PM
2.5",1/1,Uttar Pradesh
Bulandshahr,Very Poor,306,"PM
2.5",1/1,Uttar Pradesh
Gurugram,Very Poor,303,"PM
2.5",4/4,Haryana
Bhiwani,Poor,295,"PM
2.5",1/1,Haryana
Baghpat,Poor,294,"PM
2.5",1/2,Uttar Pradesh
Haldia,Poor,292,"PM
2.5",1/1,West Bengal
Sonipat,Poor,291,"PM
2.5",1/1,Haryana
Pithampur,Poor,290,"PM
2.5",1/1,Madhya Pradesh
Yamuna Nagar,Poor,281,"PM
2.5",1/1,Haryana
Jind,Poor,277,"PM
2.5",1/1,Haryana
Bahadurgarh,Poor,276,"PM
2.5",1/1,Haryana
Ankleshwar,Poor,273,"PM
2.5",1/1,Gujarat
Ballabgarh,Poor,272,"PM
2.5",1/1,Haryana
Barbil,Poor,271,"PM
2.5",1/1,Odisha
