City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Panchkula,Very Poor,334,"PM
2.5",1/1,Haryana
Charkhi Dadri,Very Poor,323,"PM
2.5",1/1,Haryana
Baghpat,Very Poor,320,"PM
2.5",1/2,Uttar Pradesh
Ballabgarh,Very Poor,319,"PM
2.5",1/1,Haryana
Meerut,Very Poor,312,"PM , PM
10 2.5",3/3,Uttar Pradesh
Dharuhera,Poor,298,"PM
2.5",1/1,Haryana
Delhi,Poor,279,"PM
2.5",38/39,Delhi
Muzaffarnagar,Poor,270,"PM
2.5",1/1,Uttar Pradesh
Baddi,Poor,269,"PM
2.5",1/1,Himachal Pradesh
Rohtak,Poor,268,"PM
2.5",1/1,Haryana
Ghaziabad,Poor,266,"PM
2.5",4/4,Uttar Pradesh
Hapur,Poor,260,"PM
2.5",1/1,Uttar Pradesh
Greater Noida,Poor,248,"PM
2.5",2/2,Uttar Pradesh
Jalandhar,Poor,236,"PM
2.5",1/1,Punjab
Noida,Poor,236,"PM
2.5",3/4,Uttar Pradesh
Khanna,Poor,236,"PM
2.5",1/1,Punjab
Sri Ganganagar,Poor,224,"PM
10",1/1,Rajasthan
Pithampur,Poor,219,"PM
2.5",1/1,Madhya Pradesh
Chandigarh,Poor,219,"PM
2.5",2/3,Chandigarh
Bhiwadi,Poor,214,"PM
2.5",2/2,Rajasthan
Jind,Poor,212,"PM
2.5",1/1,Haryana
Mandi Gobindgarh,Moderate,196,"PM
2.5",1/1,Punjab
Panipat,Moderate,188,"PM
2.5",1/1,Haryana
Mandideep,Moderate,184,"PM
2.5",1/1,Madhya Pradesh
Patiala,Moderate,179,"PM
2.5",1/1,Punjab
Bulandshahr,Moderate,177,"PM
2.5",1/1,Uttar Pradesh
Narnaul,Moderate,153,"PM
2.5",1/1,Haryana
Tonk,Moderate,150,"PM
2.5",1/1,Rajasthan
Moradabad,Moderate,150,"PM
2.5",6/7,Uttar Pradesh
Gurugram,Moderate,150,"PM
2.5",1/4,Haryana
Kurukshetra,Moderate,146,"PM
2.5",1/1,Haryana
Ratlam,Moderate,143,"PM
10",1/1,Madhya Pradesh
Bhiwani,Moderate,142,"PM
2.5",1/1,Haryana
Sagar,Moderate,142,"PM
2.5",1/2,Madhya Pradesh
Bikaner,Moderate,141,"PM
10",1/1,Rajasthan
Khurja,Moderate,140,"PM
10",1/1,Uttar Pradesh
Bhopal,Moderate,138,"PM , PM
10 2.5",3/3,Madhya Pradesh
Begusarai,Moderate,138,"PM
2.5",1/1,Bihar
Ludhiana,Moderate,133,"PM
2.5",1/1,Punjab
Churu,Moderate,130,"PM
10",1/1,Rajasthan
Dewas,Moderate,130,"PM
2.5",1/1,Madhya Pradesh
Kishanganj,Moderate,123,"PM
10",1/1,Bihar
Rupnagar,Moderate,121,"PM
2.5",1/1,Punjab
Gummidipoondi,Moderate,119,"PM
2.5",1/1,Tamil Nadu
Siwan,Moderate,114,CO,1/1,Bihar
Kaithal,Moderate,114,"PM
10",1/1,Haryana
Hajipur,Moderate,114,"PM
2.5",1/1,Bihar
Maihar,Moderate,113,"PM
10",1/1,Madhya Pradesh
Dhanbad,Moderate,112,"NO
2",1/2,Jharkhand
Jabalpur,Moderate,108,"PM , O
2.5 3",4/4,Madhya Pradesh
Hanumangarh,Moderate,108,"PM
2.5",1/1,Rajasthan
Dausa,Moderate,104,"PM
2.5",1/1,Rajasthan
Patna,Moderate,104,"PM , PM
10 2.5",6/6,Bihar
Kashipur,Moderate,104,"PM
2.5",1/1,Uttarakhand
Sikar,Moderate,104,"PM
2.5",1/1,Rajasthan
Nalbari,Moderate,103,CO,1/1,Assam
Bihar Sharif,Moderate,102,"PM
2.5",1/1,Bihar
Nagaur,Satisfactory,97,"PM
10",1/1,Rajasthan
Guwahati,Satisfactory,96,"PM , PM
10 2.5",4/4,Assam
Eloor,Satisfactory,95,CO,1/1,Kerala
Jhunjhunu,Satisfactory,95,"PM
10",1/1,Rajasthan
