City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Noida,Very Poor,344,"PM
2.5",3/4,Uttar Pradesh
Ghaziabad,Very Poor,343,"PM
2.5",3/4,Uttar Pradesh
Hapur,Very Poor,336,"PM
2.5",1/1,Uttar Pradesh
Delhi,Very Poor,330,"PM
2.5",40/40,Delhi
Greater Noida,Very Poor,321,"PM
2.5",2/2,Uttar Pradesh
Gurugram,Very Poor,314,"PM
2.5",4/4,Haryana
Dharuhera,Very Poor,301,"PM
2.5",1/1,Haryana
Muzaffarnagar,Poor,300,"PM
2.5",1/1,Uttar Pradesh
Meerut,Poor,295,"PM , PM
2.5 10",3/3,Uttar Pradesh
Bhiwadi,Poor,294,"PM
2.5",2/2,Rajasthan
Bulandshahr,Poor,293,"PM
2.5",1/1,Uttar Pradesh
Manesar,Poor,282,"PM
2.5",1/1,Haryana
Sonipat,Poor,278,"PM
2.5",1/1,Haryana
Bahadurgarh,Poor,275,"PM
2.5",1/1,Haryana
Khurja,Poor,275,"PM
2.5",1/1,Uttar Pradesh
Amaravati,Poor,265,"PM
2.5",1/1,Andhra Pradesh
Churu,Poor,261,"PM
10",1/1,Rajasthan
Charkhi Dadri,Poor,258,"PM
2.5",1/1,Haryana
Gummidipoondi,Poor,254,"PM
2.5",1/1,Tamil Nadu
Bhiwani,Poor,251,"PM
2.5",1/1,Haryana
Baghpat,Poor,248,"PM
2.5",1/2,Uttar Pradesh
Mandi Gobindgarh,Poor,245,"PM
2.5",1/1,Punjab
Bileipada,Poor,238,"PM
2.5",1/1,Odisha
Sikar,Poor,236,"PM
2.5",1/1,Rajasthan
Karnal,Poor,234,"PM
2.5",1/1,Haryana
Baddi,Poor,233,"PM
2.5",1/1,Himachal Pradesh
Bikaner,Poor,232,"PM
10",1/1,Rajasthan
Balasore,Poor,226,"PM
2.5",1/1,Odisha
Tirumala,Poor,223,"PM
2.5",1/1,Andhra Pradesh
Talcher,Poor,216,"PM
2.5",1/1,Odisha
Fatehabad,Poor,216,"PM
2.5",1/1,Haryana
Faridabad,Poor,213,"PM
2.5",3/4,Haryana
Sri Ganganagar,Poor,212,"PM
10",1/1,Rajasthan
Nandesari,Poor,209,"PM
2.5",1/1,Gujarat
Sangli,Poor,208,"PM
2.5",1/1,Maharashtra
Tonk,Poor,206,"PM
2.5",1/1,Rajasthan
Kashipur,Poor,205,"PM
2.5",1/1,Uttarakhand
Visakhapatnam,Poor,204,"PM
2.5",1/1,Andhra Pradesh
Bhopal,Poor,202,"O , PM
3 2.5",3/3,Madhya Pradesh
Ballabgarh,Poor,202,"PM
2.5",1/1,Haryana
Kota,Poor,201,"PM
2.5",3/3,Rajasthan
Jind,Moderate,197,"PM
2.5",1/1,Haryana
Haldia,Moderate,194,"PM
2.5",1/1,West Bengal
Kolkata,Moderate,193,"PM
2.5",7/7,West Bengal
Rajamahendravaram,Moderate,191,"PM
2.5",1/1,Andhra Pradesh
Kurukshetra,Moderate,190,"PM
2.5",1/1,Haryana
Chandigarh,Moderate,189,"PM
2.5",3/3,Chandigarh
Gwalior,Moderate,188,"O , PM
3 2.5",3/4,Madhya Pradesh
Narnaul,Moderate,188,"PM
2.5",1/1,Haryana
Pudukottai,Moderate,188,"PM
2.5",1/1,Tamil Nadu
Araria,Moderate,185,"PM
2.5",1/1,Bihar
Moradabad,Moderate,184,"PM
2.5",5/7,Uttar Pradesh
Vellore,Moderate,183,"PM
2.5",1/1,Tamil Nadu
Jhalawar,Moderate,182,"PM
2.5",1/1,Rajasthan
Panipat,Moderate,181,"PM
2.5",1/1,Haryana
Agartala,Moderate,179,"PM
2.5",1/2,Tripura
Cuttack,Moderate,179,"PM
2.5",1/1,Odisha
Pithampur,Moderate,177,"PM
2.5",1/1,Madhya Pradesh
