City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Angul,Poor,298,"O
3",1/1,Odisha
Bahadurgarh,Poor,241,"PM
2.5",1/1,Haryana
Gurugram,Poor,238,"PM
2.5",4/4,Haryana
Nandesari,Poor,230,"PM
2.5",1/1,Gujarat
Agartala,Poor,225,"PM
2.5",1/2,Tripura
Ballabgarh,Poor,224,"PM
10",1/1,Haryana
Muzaffarnagar,Poor,224,"PM
2.5",1/1,Uttar Pradesh
Kurukshetra,Poor,222,"PM
2.5",1/1,Haryana
Greater Noida,Poor,220,"PM , O
10 3",2/2,Uttar Pradesh
Hajipur,Poor,216,"PM
2.5",1/1,Bihar
Yamuna Nagar,Poor,216,"PM
2.5",1/1,Haryana
Dharuhera,Poor,216,"PM
2.5",1/1,Haryana
Dehradun,Poor,213,"PM
2.5",1/1,Uttarakhand
Sirsa,Poor,207,"PM
10",1/1,Haryana
Nayagarh,Poor,207,"PM
2.5",1/1,Odisha
Bhiwadi,Poor,207,"PM , PM
10 2.5",2/2,Rajasthan
Ghaziabad,Poor,204,"PM , PM
10 2.5",4/4,Uttar Pradesh
Hapur,Poor,203,"PM
2.5",1/1,Uttar Pradesh
Bileipada,Moderate,200,"PM
10",1/1,Odisha
Amaravati,Moderate,200,"PM
10",1/1,Andhra Pradesh
Barbil,Moderate,198,"O
3",1/1,Odisha
Byasanagar,Moderate,194,"O
3",1/1,Odisha
Singrauli,Moderate,191,"PM
2.5",1/1,Madhya Pradesh
Byrnihat,Moderate,188,"PM
2.5",1/1,Meghalaya
Faridabad,Moderate,187,"PM , PM
2.5 10",3/4,Haryana
Jind,Moderate,178,"PM
2.5",1/1,Haryana
Mandideep,Moderate,176,"PM
2.5",1/1,Madhya Pradesh
Rishikesh,Moderate,175,"O
3",1/1,Uttarakhand
Saharsa,Moderate,175,"PM
2.5",1/1,Bihar
Panipat,Moderate,173,"PM
2.5",1/1,Haryana
Mahad,Moderate,172,"PM
2.5",1/1,Maharashtra
Delhi,Moderate,172,"PM , O
10 3",45/46,Delhi
Dhanbad,Moderate,170,"PM
10",1/2,Jharkhand
Karnal,Moderate,170,"PM
2.5",1/1,Haryana
Noida,Moderate,169,"PM , PM
2.5 10",4/4,Uttar Pradesh
Sri Ganganagar,Moderate,167,"PM
10",1/1,Rajasthan
Milupara,Moderate,166,"O
3",1/1,Chhattisgarh
Sawai Madhopur,Moderate,166,"O
3",1/1,Rajasthan
Asansol,Moderate,165,"PM
2.5",4/4,West Bengal
Bulandshahr,Moderate,163,"PM
10",1/1,Uttar Pradesh
Raebareli,Moderate,162,"PM
2.5",1/1,Uttar Pradesh
Bareilly,Moderate,162,"PM , O
10 3",2/2,Uttar Pradesh
Meerut,Moderate,161,"PM , O , PM
10 3 2.5",3/3,Uttar Pradesh
Lucknow,Moderate,160,"PM , PM
2.5 10",6/6,Uttar Pradesh
Cuttack,Moderate,159,"O
3",1/1,Odisha
Kishanganj,Moderate,159,"PM
2.5",1/1,Bihar
Visakhapatnam,Moderate,153,"PM
10",1/1,Andhra Pradesh
Bengaluru,Moderate,153,"PM , O
10 3",9/14,Karnataka
Bikaner,Moderate,152,"O
3",1/1,Rajasthan
Baddi,Moderate,152,"PM
2.5",1/1,Himachal Pradesh
Nalbari,Moderate,152,"PM
2.5",1/1,Assam
Keonjhar,Moderate,150,"PM
10",1/1,Odisha
Kunjemura,Moderate,148,"PM
10",1/1,Chhattisgarh
Siliguri,Moderate,148,"PM
10",1/1,West Bengal
Ahmednagar,Moderate,147,"O
3",1/1,Maharashtra
Gummidipoondi,Moderate,146,"PM
2.5",1/1,Tamil Nadu
Khanna,Moderate,145,"PM
2.5",1/1,Punjab
Jaipur,Moderate,144,"PM , PM
10 2.5",4/6,Rajasthan
Begusarai,Moderate,143,"PM
2.5",1/1,Bihar
Jalandhar,Moderate,140,"PM
10",1/1,Punjab
Samastipur,Moderate,138,"PM
2.5",1/1,Bihar
Baghpat,Moderate,138,"PM
2.5",1/2,Uttar Pradesh
Chandrapur,Moderate,137,"PM
10",2/2,Maharashtra
Patna,Moderate,137,"PM , PM , O
2.5 10 3",6/6,Bihar
Sonipat,Moderate,136,"PM
2.5",1/1,Haryana
Kashipur,Moderate,135,"PM
2.5",1/1,Uttarakhand
Arrah,Moderate,134,"PM
2.5",1/1,Bihar
Manguraha,Moderate,133,"PM
10",1/1,Bihar
Bhagalpur,Moderate,132,"PM , PM
2.5 10",2/2,Bihar
Vatva,Moderate,131,"PM
10",1/1,Gujarat
Talcher,Moderate,129,"PM
10",1/1,Odisha
Bhubaneswar,Moderate,129,"PM , PM
2.5 10",2/2,Odisha
Gaya,Moderate,128,"PM , PM
10 2.5",2/3,Bihar
Motihari,Moderate,128,"PM
2.5",1/1,Bihar
Patiala,Moderate,128,"PM
10",1/1,Punjab
Khurja,Moderate,128,"PM
10",1/1,Uttar Pradesh
Sangli,Moderate,126,"PM
2.5",1/1,Maharashtra
Moradabad,Moderate,126,"PM , PM
2.5 10",6/7,Uttar Pradesh
Muzaffarpur,Moderate,126,"PM
2.5",3/3,Bihar
Gwalior,Moderate,125,"PM
10",3/4,Madhya Pradesh
Sikar,Moderate,125,"PM
10",1/1,Rajasthan
Guwahati,Moderate,123,"PM , PM
2.5 10",2/4,Assam
Tonk,Moderate,122,"PM
10",1/1,Rajasthan
Solapur,Moderate,120,"PM , PM
2.5 10",2/3,Maharashtra
Chhapra,Moderate,120,"PM
10",1/1,Bihar
Bhopal,Moderate,120,"PM , O
10 3",3/3,Madhya Pradesh
Ujjain,Moderate,120,"PM
2.5",1/2,Madhya Pradesh
Balasore,Moderate,119,"PM
2.5",1/1,Odisha
Baripada,Moderate,119,"PM
2.5",1/1,Odisha
Nagaon,Moderate,119,"PM
2.5",1/1,Assam
Rairangpur,Moderate,117,"PM
10",1/1,Odisha
Jhalawar,Moderate,116,"PM
10",1/1,Rajasthan
Bhiwani,Moderate,115,"PM
2.5",1/1,Haryana
Pratapgarh,Moderate,115,"PM
10",1/1,Uttar Pradesh
Araria,Moderate,115,"PM
2.5",1/1,Bihar
Pithampur,Moderate,114,"PM
10",1/1,Madhya Pradesh
Dewas,Moderate,114,"NO
2",1/1,Madhya Pradesh
Kanpur,Moderate,114,"PM , PM
2.5 10",2/4,Uttar Pradesh
Howrah,Moderate,114,"PM
10",5/5,West Bengal
Chittorgarh,Moderate,113,"PM
10",1/1,Rajasthan
Jhunjhunu,Moderate,112,"O
3",1/1,Rajasthan
Hanumangarh,Moderate,112,"PM
10",1/1,Rajasthan
Mandi Gobindgarh,Moderate,112,CO,1/1,Punjab
Ulhasnagar,Moderate,112,"PM
10",2/2,Maharashtra
Rajkot,Moderate,112,CO,1/1,Gujarat
Rajsamand,Moderate,112,"O
3",1/1,Rajasthan
Rourkela,Moderate,111,"PM , PM
2.5 10",3/3,Odisha
Rupnagar,Moderate,111,"PM
2.5",1/1,Punjab
Bundi,Moderate,111,"O
3",1/1,Rajasthan
Chandigarh,Moderate,110,"PM , PM
2.5 10",3/3,Chandigarh
Pune,Moderate,109,"PM , PM
10 2.5",9/13,Maharashtra
Badlapur,Moderate,109,"PM
10",1/1,Maharashtra
Bhiwandi,Moderate,109,"PM
10",1/1,Maharashtra
Panchgaon,Moderate,109,"PM
2.5",1/1,Haryana
Ramanagara,Moderate,109,"PM
10",1/1,Karnataka
Bhilwara,Moderate,108,"PM
10",1/1,Rajasthan
Kota,Moderate,108,"PM , PM , O
2.5 10 3",3/3,Rajasthan
Kolkata,Moderate,108,"PM , PM
2.5 10",7/7,West Bengal
Mira-Bhayandar,Moderate,107,"PM
10",1/1,Maharashtra
Bhavnagar,Moderate,106,"PM
10",1/1,Gujarat
Haldia,Moderate,106,"PM
10",1/1,West Bengal
Jalgaon,Moderate,106,"PM
10",1/1,Maharashtra
Kaithal,Moderate,106,"PM
10",1/1,Haryana
Jodhpur,Moderate,105,"PM , O
10 3",5/5,Rajasthan
Alwar,Moderate,105,"PM
10",1/1,Rajasthan
Baran,Moderate,104,"O
3",1/1,Rajasthan
Pimpri-Chinchwad,Moderate,104,"PM , PM
2.5 10",4/4,Maharashtra
Dhule,Moderate,104,"PM
2.5",1/1,Maharashtra
Udaipur,Moderate,104,"PM
10",1/1,Rajasthan
Perundurai,Moderate,104,"PM
10",1/1,Tamil Nadu
Durgapur,Moderate,104,"PM , PM
10 2.5",3/3,West Bengal
Katni,Moderate,103,"PM
10",1/1,Madhya Pradesh
Vadodara,Moderate,103,CO,1/1,Gujarat
Barrackpore,Moderate,103,"PM
2.5",1/1,West Bengal
Jaisalmer,Moderate,103,"PM
10",1/1,Rajasthan
Bharatpur,Moderate,103,"O
3",1/1,Rajasthan
Pali,Moderate,102,"PM
10",1/1,Rajasthan
Tirumala,Moderate,102,"PM
2.5",1/1,Andhra Pradesh
Indore,Moderate,102,"PM , PM
10 2.5",4/6,Madhya Pradesh
Siwan,Moderate,102,"PM
10",1/1,Bihar
Sasaram,Moderate,101,"PM
10",1/1,Bihar
Ankleshwar,Satisfactory,100,"PM
2.5",1/1,Gujarat
Brajrajnagar,Satisfactory,100,"PM
10",1/1,Odisha
Surat,Satisfactory,100,"PM
10",2/2,Gujarat
Charkhi Dadri,Satisfactory,99,"PM
2.5",1/1,Haryana
Churu,Satisfactory,99,"PM
10",1/1,Rajasthan
Tumidih,Satisfactory,98,"PM
10",1/1,Chhattisgarh
Ludhiana,Satisfactory,98,"PM
10",1/1,Punjab
Damoh,Satisfactory,98,"PM
10",1/1,Madhya Pradesh
Chhal,Satisfactory,98,"O
3",1/1,Chhattisgarh
Karauli,Satisfactory,97,"PM
10",1/1,Rajasthan
Prayagraj,Satisfactory,97,"PM , PM
2.5 10",3/3,Uttar Pradesh
Agra,Satisfactory,96,"PM
10",6/6,Uttar Pradesh
Ahmedabad,Satisfactory,96,"PM , CO
10",8/9,Gujarat
Rajamahendravaram,Satisfactory,96,"PM
10",1/1,Andhra Pradesh
Akola,Satisfactory,96,"PM
10",1/1,Maharashtra
Hisar,Satisfactory,96,"O
3",1/1,Haryana
Dharwad,Satisfactory,96,"PM
10",1/1,Karnataka
Purnia,Satisfactory,96,"PM
2.5",1/1,Bihar
Ambala,Satisfactory,95,"PM
10",1/1,Haryana
Amritsar,Satisfactory,95,"PM
10",1/1,Punjab
Kannur,Satisfactory,94,"PM
10",1/1,Kerala
Belapur,Satisfactory,94,"PM
10",1/1,Maharashtra
Jabalpur,Satisfactory,94,"PM , O
10 3",4/4,Madhya Pradesh
"Aurangabad
(Maharashtra)",Satisfactory,94,"PM , O
10 3",3/3,Maharashtra
Boisar,Satisfactory,94,"PM
10",1/1,Maharashtra
Dholpur,Satisfactory,93,"PM
10",1/1,Rajasthan
Jalna,Satisfactory,92,"O
3",1/1,Maharashtra
Ratlam,Satisfactory,91,"PM
10",1/1,Madhya Pradesh
Hyderabad,Satisfactory,90,"PM
10",12/14,Telangana
Dausa,Satisfactory,90,"PM
10",1/1,Rajasthan
Katihar,Satisfactory,88,"PM
2.5",1/1,Bihar
Ajmer,Satisfactory,88,"PM
10",1/1,Rajasthan
Banswara,Satisfactory,88,"O
3",1/1,Rajasthan
Barmer,Satisfactory,88,"O
3",1/1,Rajasthan
Gandhinagar,Satisfactory,88,"PM
10",3/3,Gujarat
Gorakhpur,Satisfactory,87,"PM
10",1/1,Uttar Pradesh
Vrindavan,Satisfactory,87,"PM
10",1/1,Uttar Pradesh
Tirupati,Satisfactory,87,"PM
2.5",1/1,Andhra Pradesh
Chennai,Satisfactory,86,"PM
10",5/9,Tamil Nadu
Bihar Sharif,Satisfactory,86,"PM
2.5",1/1,Bihar
Mysuru,Satisfactory,86,"PM
10",1/1,Karnataka
Narnaul,Satisfactory,86,"PM
2.5",1/1,Haryana
Coimbatore,Satisfactory,86,"PM
2.5",2/2,Tamil Nadu
Mehsana,Satisfactory,85,"PM
10",1/1,Gujarat
Navi Mumbai,Satisfactory,85,"PM
10",6/8,Maharashtra
Fatehabad,Satisfactory,85,"O
3",1/1,Haryana
Pampore,Satisfactory,85,"PM
10",1/1,
Mumbai,Satisfactory,84,"PM
10",20/30,Maharashtra
Thane,Satisfactory,84,"PM
10",2/2,Maharashtra
Virar,Satisfactory,82,"PM
10",1/1,Maharashtra
Anantapur,Satisfactory,82,"PM
2.5",1/1,Andhra Pradesh
Nagpur,Satisfactory,82,"PM
10",4/4,Maharashtra
Nagaur,Satisfactory,82,"PM
10",1/1,Rajasthan
Yadgir,Satisfactory,82,"PM
10",1/1,Karnataka
Sagar,Satisfactory,81,"PM
10",2/2,Madhya Pradesh
Thiruvananthapuram,Satisfactory,80,"PM
10",2/2,Kerala
Rajgir,Satisfactory,80,"PM
2.5",1/1,Bihar
Gangtok,Satisfactory,78,"PM
2.5",1/1,Sikkim
Bathinda,Satisfactory,78,CO,1/1,Punjab
Vapi,Satisfactory,77,"PM
10",1/1,Gujarat
Mandikhera,Satisfactory,76,CO,1/1,Haryana
Chittoor,Satisfactory,76,"PM
2.5",1/1,Andhra Pradesh
Kollam,Satisfactory,75,"PM
10",1/1,Kerala
Nashik,Satisfactory,74,"PM
10",3/4,Maharashtra
Bettiah,Satisfactory,74,"PM
10",1/1,Bihar
Thoothukudi,Satisfactory,74,"PM
10",1/1,Tamil Nadu
Raipur,Satisfactory,74,"PM , PM
2.5 10",4/4,Chhattisgarh
Thrissur,Satisfactory,74,"PM
10",1/1,Kerala
Varanasi,Satisfactory,74,"PM
10",4/4,Uttar Pradesh
Sivasagar,Satisfactory,73,"O
3",1/1,Assam
Nanded,Satisfactory,73,"PM
10",1/1,Maharashtra
Vijayawada,Satisfactory,72,"PM
2.5",4/4,Andhra Pradesh
Bilaspur,Satisfactory,71,"PM
10",1/1,Chhattisgarh
Amravati,Satisfactory,71,"PM
10",2/2,Maharashtra
Satna,Satisfactory,70,"PM
10",1/1,Madhya Pradesh
Malegaon,Satisfactory,70,"O
3",1/1,Maharashtra
Korba,Satisfactory,69,"PM , PM
2.5 10",2/2,Chhattisgarh
Kalaburagi,Satisfactory,69,"PM
10",1/2,Karnataka
Chikkamagaluru,Satisfactory,67,"PM
2.5",1/1,Karnataka
Latur,Satisfactory,66,"PM
2.5",1/1,Maharashtra
Sirohi,Satisfactory,65,"O
3",1/1,Rajasthan
Kohima,Satisfactory,65,"PM
2.5",1/1,Nagaland
Jhansi,Satisfactory,65,"PM
10",1/1,Uttar Pradesh
Silchar,Satisfactory,65,"PM
10",1/1,Assam
Kolhapur,Satisfactory,65,"PM
10",1/2,Maharashtra
Dungarpur,Satisfactory,63,"PM
10",1/1,Rajasthan
Firozabad,Satisfactory,63,"PM , PM
10 2.5",2/2,Uttar Pradesh
Vijayapura,Satisfactory,62,"PM
10",1/1,Karnataka
Hubballi,Satisfactory,61,"PM
10",1/2,Karnataka
Shivamogga,Satisfactory,59,"O
3",1/1,Karnataka
Palwal,Satisfactory,56,"PM
10",1/1,Haryana
Munger,Satisfactory,55,"PM
2.5",1/1,Bihar
Aizawl,Satisfactory,54,"PM
10",1/1,Mizoram
Puducherry,Satisfactory,53,"O
3",1/1,Puducherry
Srinagar,Satisfactory,51,"PM
2.5",2/2,
Madikeri,Good,50,"PM
2.5",1/1,Karnataka
Shillong,Good,46,"O
3",1/2,Meghalaya
Kalyan,Good,44,"PM
10",1/2,Maharashtra
Parbhani,Good,43,"NO
2",1/1,Maharashtra
Panchkula,Good,35,"O
3",1/1,Haryana
Bhilai,Good,28,"CO, NO
2",3/3,Chhattisgarh
