City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Nandesari,Poor,251,"PM
2.5",1/1,Gujarat
Amritsar,Poor,238,"PM
2.5",1/1,Punjab
Katihar,Moderate,135,"PM
10",1/1,Bihar
Greater Noida,Moderate,110,"PM
10",2/2,Uttar Pradesh
Baddi,Moderate,105,"PM
10",1/1,Himachal Pradesh
Noida,Moderate,104,"PM , NO , O
10 2 3",3/4,Uttar Pradesh
Khurja,Moderate,103,"PM
10",1/1,Uttar Pradesh
Visakhapatnam,Satisfactory,97,"PM
10",1/1,Andhra Pradesh
Byrnihat,Satisfactory,96,"PM
2.5",1/1,Meghalaya
Bareilly,Satisfactory,94,"SO
2",1/2,Uttar Pradesh
Raipur,Satisfactory,93,"PM
10",1/4,Chhattisgarh
Sri Ganganagar,Satisfactory,91,"PM
2.5",1/1,Rajasthan
Brajrajnagar,Satisfactory,90,CO,1/1,Odisha
Dausa,Satisfactory,87,"PM
10",1/1,Rajasthan
Ghaziabad,Satisfactory,86,"PM
10",4/4,Uttar Pradesh
Gummidipoondi,Satisfactory,86,"PM
10",1/1,Tamil Nadu
Dhanbad,Satisfactory,82,"NO
2",1/2,Jharkhand
Ludhiana,Satisfactory,80,"PM
10",1/1,Punjab
Kanchipuram,Satisfactory,79,"PM
10",1/1,Tamil Nadu
Samastipur,Satisfactory,79,"PM
10",1/1,Bihar
Ankleshwar,Satisfactory,78,"SO
2",1/1,Gujarat
Rajsamand,Satisfactory,78,"O
3",1/1,Rajasthan
Delhi,Satisfactory,75,"PM
10",34/39,Delhi
Baran,Satisfactory,74,"O
3",1/1,Rajasthan
Alwar,Satisfactory,74,CO,1/1,Rajasthan
Byasanagar,Satisfactory,73,CO,1/1,Odisha
Vapi,Satisfactory,72,"PM
10",1/1,Gujarat
Jaipur,Satisfactory,71,"PM , CO
10",6/6,Rajasthan
Sagar,Satisfactory,71,"PM , CO
10",2/2,Madhya Pradesh
Cuttack,Satisfactory,71,CO,1/1,Odisha
Dholpur,Satisfactory,71,"PM
10",1/1,Rajasthan
Begusarai,Satisfactory,70,"NO
2",1/1,Bihar
Churu,Satisfactory,69,"PM
10",1/1,Rajasthan
Thane,Satisfactory,69,"PM
10",1/2,Maharashtra
Jaisalmer,Satisfactory,68,"PM
10",1/1,Rajasthan
Chennai,Satisfactory,68,"PM
10",7/9,Tamil Nadu
Firozabad,Satisfactory,68,"O , SO
3 2",2/2,Uttar Pradesh
Bhubaneswar,Satisfactory,68,CO,2/2,Odisha
Amaravati,Satisfactory,68,"PM
10",1/1,Andhra Pradesh
Chittoor,Satisfactory,67,"PM
2.5",1/1,Andhra Pradesh
Muzaffarnagar,Satisfactory,67,"PM
10",1/1,Uttar Pradesh
Kashipur,Satisfactory,66,CO,1/1,Uttarakhand
Bhiwadi,Satisfactory,66,"PM
10",2/2,Rajasthan
Thoothukudi,Satisfactory,65,"PM
10",1/1,Tamil Nadu
Hyderabad,Satisfactory,64,"PM
10",12/14,Telangana
Kanpur,Satisfactory,64,"O , PM , PM
3 2.5 10",3/4,Uttar Pradesh
Gwalior,Satisfactory,64,"PM
2.5",1/4,Madhya Pradesh
Panchgaon,Satisfactory,64,"O
3",1/1,Haryana
Keonjhar,Satisfactory,64,CO,1/1,Odisha
