City,Air_Quality,Index_Value,Prominent_Pollutant,No._of_Stations_Participated_Total_Stations,State
Charkhi Dadri,Poor,292,"PM
2.5",1/1,Haryana
Ballabgarh,Poor,290,"PM
10",1/1,Haryana
Bhiwadi,Poor,276,"PM , PM
10 2.5",2/2,Rajasthan
Cuttack,Poor,265,"O
3",1/1,Odisha
Agartala,Poor,251,"PM
2.5",1/2,Tripura
Bahadurgarh,Poor,249,"PM
2.5",1/1,Haryana
Manesar,Poor,247,"PM
2.5",1/1,Haryana
Gurugram,Poor,246,"PM , PM
10 2.5",2/4,Haryana
Dharuhera,Poor,246,"PM
2.5",1/1,Haryana
Angul,Poor,242,"O
3",1/1,Odisha
Baghpat,Poor,234,"PM
2.5",1/2,Uttar Pradesh
Ghaziabad,Poor,216,"PM , PM
10 2.5",4/4,Uttar Pradesh
Panipat,Poor,214,"PM
2.5",1/1,Haryana
Nandesari,Poor,213,"PM
2.5",1/1,Gujarat
Greater Noida,Poor,212,"PM
10",2/2,Uttar Pradesh
Faridabad,Poor,203,"PM , PM
10 2.5",3/4,Haryana
Kurukshetra,Poor,202,"PM
2.5",1/1,Haryana
Delhi,Moderate,200,"PM , PM , O
10 2.5 3",38/40,Delhi
Visakhapatnam,Moderate,200,"PM
10",1/1,Andhra Pradesh
Hapur,Moderate,198,"PM
2.5",1/1,Uttar Pradesh
Byasanagar,Moderate,193,"O
3",1/1,Odisha
Balasore,Moderate,190,"PM
2.5",1/1,Odisha
Raebareli,Moderate,190,"PM
2.5",1/1,Uttar Pradesh
Panchgaon,Moderate,186,"PM
2.5",1/1,Haryana
Naharlagun,Moderate,185,"PM
2.5",1/1,
Karnal,Moderate,184,"PM
2.5",1/1,Haryana
Singrauli,Moderate,183,"PM
10",1/1,Madhya Pradesh
Gummidipoondi,Moderate,183,"PM
2.5",1/1,Tamil Nadu
Byrnihat,Moderate,177,"PM
2.5",1/1,Meghalaya
Sawai Madhopur,Moderate,174,"PM
10",1/1,Rajasthan
Kolkata,Moderate,172,"PM
2.5",6/7,West Bengal
Yamuna Nagar,Moderate,170,"PM
2.5",1/1,Haryana
Noida,Moderate,169,"PM , PM
10 2.5",4/4,Uttar Pradesh
Howrah,Moderate,162,"PM , PM
10 2.5",5/5,West Bengal
Bathinda,Moderate,162,"PM
10",1/1,Punjab
Baddi,Moderate,158,"PM
2.5",1/1,Himachal Pradesh
Kashipur,Moderate,156,"PM
2.5",1/1,Uttarakhand
Talcher,Moderate,156,"PM
10",1/1,Odisha
Gandhinagar,Moderate,156,"PM , PM
10 2.5",3/3,Gujarat
Bulandshahr,Moderate,156,"PM
10",1/1,Uttar Pradesh
Kaithal,Moderate,154,"PM
2.5",1/1,Haryana
Muzaffarnagar,Moderate,153,"PM
2.5",1/1,Uttar Pradesh
Nayagarh,Moderate,153,"PM
10",1/1,Odisha
Bikaner,Moderate,152,"O
3",1/1,Rajasthan
Mandideep,Moderate,152,"PM
2.5",1/1,Madhya Pradesh
Dehradun,Moderate,152,"PM
2.5",1/1,Uttarakhand
Bhubaneswar,Moderate,151,"PM , O
10 3",2/2,Odisha
Nalbari,Moderate,151,"PM
2.5",1/1,Assam
Sri Ganganagar,Moderate,147,"PM
10",1/1,Rajasthan
Lucknow,Moderate,145,"PM , PM
10 2.5",5/6,Uttar Pradesh
Vatva,Moderate,143,"PM
2.5",1/1,Gujarat
Haldia,Moderate,143,"PM
2.5",1/1,West Bengal
Rohtak,Moderate,142,"PM
2.5",1/1,Haryana
Pithampur,Moderate,142,"PM
10",1/1,Madhya Pradesh
Gwalior,Moderate,140,"PM , PM
10 2.5",3/4,Madhya Pradesh
Durgapur,Moderate,140,"PM , PM
10 2.5",3/3,West Bengal
Katni,Moderate,139,"PM
10",1/1,Madhya Pradesh
Khurja,Moderate,139,"PM
10",1/1,Uttar Pradesh
Siliguri,Moderate,139,"PM
10",1/1,West Bengal
Pali,Moderate,136,"PM
10",1/1,Rajasthan
Jalore,Moderate,134,"PM
10",1/1,Rajasthan
Meerut,Moderate,134,"PM , PM
10 2.5",3/3,Uttar Pradesh
Agra,Moderate,133,"PM , PM
10 2.5",5/6,Uttar Pradesh
Dausa,Moderate,132,"PM
10",1/1,Rajasthan
Manguraha,Moderate,131,"PM
10",1/1,Bihar
Nagpur,Moderate,131,"PM , PM
10 2.5",4/4,Maharashtra
Chandrapur,Moderate,128,"PM
10",2/2,Maharashtra
Hajipur,Moderate,127,"PM
10",1/1,Bihar
Chandigarh,Moderate,126,"PM
2.5",2/3,Chandigarh
Dewas,Moderate,125,"NO
2",1/1,Madhya Pradesh
Jodhpur,Moderate,125,"PM
10",5/5,Rajasthan
Barbil,Moderate,124,"PM
10",1/1,Odisha
Bharatpur,Moderate,123,"PM
10",1/1,Rajasthan
Patna,Moderate,123,"PM , PM
10 2.5",6/6,Bihar
Chittorgarh,Moderate,123,"PM
10",1/1,Rajasthan
Alwar,Moderate,121,"PM
10",1/1,Rajasthan
